№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Оцифровка,Нет,технология/инфраструктура,принцип доступности,постепенные; институциональные,Копирование аналоговых носителей
2,Создание метаданных,Да,содержание,принцип описания,индивидуальные; мгновенные,Структурирование цифровых данных
3,Цифровое сохранение,Условно,технология/инфраструктура,принцип долговечности,постепенные; институциональные,Использует репликацию
4,Миграция форматов,Условно,технология/инфраструктура,принцип устойчивости,каскадные; институциональные,Переход на новые форматы
5,Резервное копирование,Да,технология/инфраструктура,принцип безопасности,цикличные; институциональные,Создание копий для восстановления
6,Контроль доступа,Да,отношения,принцип конфиденциальности,институциональные; мгновенные,Определение прав пользователей
7,Шифрование,Да,технология/инфраструктура,принцип безопасности,индивидуальные; мгновенные,Защита данных
8,Расшифровка,Да,технология/инфраструктура,принцип доступа,индивидуальные; мгновенные,Обратный процесс к шифрованию
9,Цифровая подпись,Да,отношения,принцип подлинности,индивидуальные; мгновенные,Проверка авторства
10,Аутентификация пользователей,Да,отношения,принцип безопасности,индивидуальные; мгновенные,Идентификация пользователя
11,Мониторинг целостности,Да,состояние,принцип неизменности,цикличные; институциональные,Проверка контроля целостности
12,Репликация данных,Да,технология/инфраструктура,принцип надежности,цикличные; институциональные,Создание нескольких копий
13,Синхронизация хранилищ,Да,технология/инфраструктура,принцип актуальности,цикличные; институциональные,Выравнивание содержимого
14,Управление версиями,Да,содержание,принцип прозрачности,индивидуальные; постепенные,Учёт изменений
15,Обновление программного обеспечения,Нет,технология/инфраструктура,принцип эволюции,цикличные; институциональные,Поддержание актуальности платформы
16,Контроль рисков,Да,состояние,принцип оценки,постепенные; институциональные,Идентификация угроз
17,Проверка подлинности файлов,Да,состояние,принцип аутентификации,индивидуальные; мгновенные,Сравнение с контрольными суммами
18,Форматирование носителей,Нет,технология/инфраструктура,принцип очистки,индивидуальные; мгновенные,Полное удаление данных
19,Интерфейсный дизайн,Условно,отношения,принцип удобства,индивидуальные; постепенные,Работа над UX
20,Моделирование данных,Да,структура,принцип логической организации,индивидуальные; постепенные,Определение схем хранения
21,Интеграция API,Да,технология/инфраструктура,принцип взаимосвязи,индивидуальные; постепенные,Подключение внешних сервисов
