№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Вовлечение сообщества,Да,отношения,принцип участия,коллективные; постепенные,Активизация граждан
2,Сбор устных историй,Нет,содержание,принцип памяти,индивидуальные; постепенные,Запись интервью
3,Документирование местной памяти,Да,память/наследие,принцип локальности,индивидуальные; постепенные,Фиксация событий
4,Партисипативная оценка,Да,отношения,принцип демократичности,коллективные; постепенные,Совместный отбор
5,Обучение волонтёров,Да,отношения,принцип обмена знаниями,индивидуальные; постепенные,Подготовка участников
6,Фандрайзинг,Да,экономика/обмен,принцип устойчивости,индивидуальные; постепенные,Привлечение средств
7,Просветительская деятельность,Да,дискурс,принцип открытости,коллективные; постепенные,"Лекции, публикации"
8,Совместное кураторство,Да,отношения,принцип сотрудничества,коллективные; постепенные,Ко-курация выставок
9,Цифровое повествование,Да,дискурс,принцип творчества,индивидуальные; постепенные,Создание мультимедийных историй
10,Картирование памяти,Да,пространство,принцип географичности,индивидуальные; постепенные,Создание карт памяти
11,Переговоры о правах,Да,отношения,принцип справедливости,индивидуальные; постепенные,Обсуждение собственности
12,Адвокация,Да,дискурс,принцип представительства,индивидуальные; постепенные,Защита интересов
13,Управление сообществом,Да,институты,принцип самоуправления,коллективные; постоянные,Формирование руководящих органов
14,Инклюзия меньшинств,Да,отношения,принцип равенства,коллективные; постепенные,Привлечение разных групп
15,Обеспечение представительности,Условно,значения,принцип репрезентации,коллективные; постепенные,Отражение разнообразия
16,Сканирование материалов,Нет,технология/инфраструктура,принцип доступности,индивидуальные; мгновенные,Создание цифровых копий
