№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Формирование памяти,Да,память/наследие,принцип социального конструирования,постепенные; коллективные,Создание коллективной памяти
2,Конструирование идентичности,Да,идентичность/границы,принцип самоидентификации,постепенные; индивидуальные,Личностный и групповой процесс
3,Создание нарратива,Да,дискурс,принцип рассказа,индивидуальные; постепенные,Сторителлинг
4,Коммеморация,Да,дискурс,принцип ритуала,коллективные; цикличные,Празднование памятных дат
5,Трансляция памяти,Да,память/наследие,принцип передачи,постепенные; коллективные,Обучение молодого поколения
6,Мифотворчество,Да,дискурс,принцип мифа,индивидуальные; постепенные,Создание символов
7,Переработка травмы,Условно,состояние,принцип психоанализа,индивидуальные; постепенные,Коллективная терапия
8,Реконструкция прошлого,Да,память/наследие,принцип историзма,индивидуальные; постепенные,Историческая реконструкция
9,Переосмысление истории,Да,значения,принцип ревизии,постепенные; коллективные,Интерпретация событий заново
10,Ритуализированное забывание,Условно,память/наследие,принцип табу,постепенные; коллективные,Стигматизация
11,Идентификационная дифференциация,Условно,идентичность/границы,принцип разграничения,постепенные; коллективные,Разграничение групп
12,Ассимиляция,Нет,идентичность/границы,принцип интеграции,постепенные; коллективные,Поглощение меньшинств
13,Синкретизм,Да,идентичность/границы,принцип смешения,постепенные; коллективные,Слияние культур
14,Инкарнация символов,Да,символы,принцип воплощения,постепенные; коллективные,Материализация образов
15,Коллективное переживание,Да,поведение,принцип эмпатии,коллективные; мгновенные,Общее чувство
