№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Проектирование учебных программ,Да,структура,принцип компетентностного подхода,коллективные; постепенные,Определение образовательных модулей
2,Разработка методик преподавания,Да,поведение,принцип педагогической науки,индивидуальные; постепенные,Выбор методик обучения
3,Проведение занятий,Да,поведение,принцип интерактивности,индивидуальные; мгновенные,Обучение аудитории
4,Организация практики,Да,практика,принцип погружения,коллективные; постепенные,Стажировка в архивах
5,Наставничество,Да,отношения,принцип преемственности,индивидуальные; постепенные,Обучение от мастера
6,Разработка учебных материалов,Да,содержание,принцип наглядности,индивидуальные; постепенные,Создание пособий
7,Оценка обучения,Да,состояние,принцип обратной связи,индивидуальные; мгновенные,Тестирование знаний
8,Профессиональная ориентация,Да,идентичность/границы,принцип мотивации,индивидуальные; постепенные,Помощь с выбором профессии
9,Повышение квалификации,Да,функция,принцип непрерывного образования,индивидуальные; постепенные,Курсы для специалистов
10,Разработка онлайн-курсов,Да,технология/инфраструктура,принцип дистанционности,индивидуальные; постепенные,Электронное обучение
11,Создание симуляций,Да,технология/инфраструктура,принцип моделирования,индивидуальные; постепенные,Виртуальные тренажёры
12,Геймификация,Да,поведение,принцип мотивации,индивидуальные; постепенные,Использование игровых элементов
13,Менторские программы,Да,отношения,принцип наставничества,индивидуальные; постепенные,Формализация наставничества
14,Разработка стандартов обучения,Нет,нормы,принцип унификации,коллективные; постепенные,Определение критериев
15,Сертификация специалистов,Нет,нормы,принцип подтверждения,коллективные; мгновенные,Выдача сертификатов
16,Оценка потребностей,Да,отношения,принцип адаптации,индивидуальные; мгновенные,Анализ потребностей обучающихся
