№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Экстракция белков из биологического образца,Да,тело/материя,Буферная экстракция,необходимые; дискретные; лабораторные,Основной шаг в протеомике
2,Переваривание белков на пептиды,Да,содержание,Ферментативный гидролиз,необходимые; дискретные; лабораторные,Аналогия: подготовка для масс‑спектрометрии
3,Фракционирование пептидов,Да,структура,Хроматография,возможные; дискретные; технологические,Схоже с метаболомикой
4,Анализ пептидов на масс‑спектрометре,Да,структура,Масс‑спектрометрия,необходимые; дискретные; технологические,Общий омics процесс
5,Выбор режима сбора данных (DDA/ DIA),Условно,режимы,Стратегия эксперимента,возможные; дискретные; индивидуальные,Уникально для протеомики
6,Безметочная (label‑free) количественная оценка,Да,содержание,Относительное квантование,возможные; дискретные; индивидуальные,Альтернатива меченым методам
7,Идентификация белков через поиск в базах,Да,содержание,Алгоритмы сопоставления,необходимые; дискретные; индивидуальные,Аналогично геномике
8,Меченая (iTRAQ/TMT) количественная оценка,Условно,содержание,Изобарические метки,возможные; дискретные; индивидуальные,Требует специальных реагентов
9,Картирование посттрансляционных модификаций,Условно,содержание,Протоколы PTM,возможные; дискретные; исследовательские,Отличительно для протеомики
10,Анализ сетей белок‑белок взаимодействий,Условно,отношения,Сетевая биология,возможные; коллективные; институциональные,Перекличка с сетевой биологией
11,Функциональная аннотация протеома,Да,содержание,Генонтология,возможные; дискретные; институциональные,Аналог в геномике
12,"Структурная характеристика белков (крио‑ЭМ, рентген)",Условно,структура,Физические методы,возможные; дискретные; институциональные,Связь со структурной биологией
13,Интеграция данных протеомики и транскриптомики,Условно,отношения,Мультиомное объединение,возможные; коллективные; институциональные,Системная перспектива
14,Протеомика на уровне одной клетки,Условно,пространство,Ультрачувствительные методы,возможные; дискретные; исследовательские,Набирает популярность
15,Контроль качества протеомных данных,Да,нормы,Стандарты QC,необходимые; дискретные; институциональные,Общий QC процесс
