№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Экстракция липидов с использованием растворителей,Да,тело/материя,Метод Блаи и Дайера,необходимые; дискретные; лабораторные,Аналогично метаболомике
2,Хроматографическое разделение липидов,Да,структура,LC/MS,необходимые; дискретные; технологические,Общее с метаболомикой
3,Масс‑спектрометрический анализ липидов,Да,структура,Масс‑спектрометрия,необходимые; дискретные; технологические,Ключ для липидомики
4,Идентификация классов липидов,Да,содержание,Базы данных липидов,возможные; дискретные; индивидуальные,Уникально для липидов
5,Квантирование отдельных липидных видов,Да,содержание,Относительное и абсолютное измерение,возможные; дискретные; индивидуальные,Перекликается с метаболомикой
6,Картирование липидных путей,Условно,структура,Биохимия липидов,возможные; коллективные; исследовательские,Связь с сетевой биологией
7,Интеграция липидомики и метаболомики,Условно,отношения,Мультиомный анализ,возможные; коллективные; институциональные,Системная перспектива
8,Изучение взаимодействия липидов и белков,Условно,отношения,Липид‑белковые комплексы,возможные; коллективные; исследовательские,Смежно с протеомикой
9,Профилирование липидных медиаторов,Условно,содержание,Эйкозаноиды и др.,возможные; дискретные; исследовательские,Важные сигнальные молекулы
10,Имагинг масс‑спектрометрия липидов,Условно,пространство,Imaging MS,возможные; дискретные; исследовательские,Позволяет визуализировать распределение
11,Сравнение липидомов в разных условиях,Условно,состояние,Сравнительный анализ,возможные; коллективные; исследовательские,Поддерживает биомаркерный поиск
12,Нормализация и контроль качества,Да,нормы,QC стандарты,необходимые; дискретные; институциональные,Общий процесс
13,Разработка и поддержка баз данных липидов,Да,институции,LIPID MAPS,возможные; институциональные; коллективные,Служит справочником
14,Анализ состава мембранных липидов,Условно,структура,Мембранная биология,возможные; дискретные; исследовательские,Связь с физиологией
15,"Изучение сигнальных путей, связанных с липидами",Условно,функция,Фосфолипидный каскад,возможные; континуальные; исследовательские,Важны для патологии
