№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Создание и сопровождение конвейеров обработки последовательностей,Да,технология/инфраструктура,Automated pipelines,необходимые; континуальные; институциональные,Основной процесс
2,Разработка алгоритмов для выравнивания и поиска,Условно,функция,Алгоритмическое проектирование,возможные; дискретные; исследовательские,Специализированные методы
3,Интеллектуальный анализ больших данных,Условно,содержание,Data mining,возможные; континуальные; индивидуальные,Связь с data science
4,Создание и курирование биологических баз данных,Да,структура,Систематизация,необходимые; институциональные; коллективные,Пример — GenBank
5,Визуализация сложных биологических данных,Условно,дискурс,Инфографика,возможные; дискретные; индивидуальные,Облегчает понимание
6,Применение машинного обучения для выявления закономерностей,Условно,функция,ML/AI,возможные; континуальные; исследовательские,Связь с системной медициной
7,Разработка вычислительных моделей биологических процессов,Условно,функция,Математическое моделирование,возможные; континуальные; исследовательские,Перекликается с сетевой биологией
8,Интеграция разнотипных данных (multi‑omics),Условно,отношения,Data fusion,возможные; коллективные; институциональные,Связь с системной биологией
9,Статистическое моделирование биологических процессов,Условно,функция,Биостатистика,возможные; континуальные; исследовательские,Поддерживает гипотезы
10,Анализ метагеномных данных,Условно,содержание,Метагеномика,возможные; коллективные; исследовательские,Связь с микробиомикой
11,Аннотация и предсказание генов,Да,содержание,Gene prediction,возможные; дискретные; индивидуальные,Перекликается с геномикой
12,Разработка и поддержка open‑source инструментов,Да,институции,Открытый код,возможные; институциональные; коллективные,Содействует сообществу
13,Использование облачной инфраструктуры для расчётов,Условно,технология/инфраструктура,Cloud computing,возможные; континуальные; институциональные,Позволяет масштабировать анализ
14,Вычисления высокой производительности для омics,Условно,технология/инфраструктура,HPC,возможные; континуальные; институциональные,Большие вычисления
15,Обучение пользователей работе с биоинформатическими инструментами,Да,нормы,Образовательные программы,возможные; коллективные; институциональные,Повышает грамотность
