№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги,Obратимость
1,"Анализировать взаимозависимость между людьми, коллективами и институтами в контексте окружающей среды",Условно,отношения,социально‑экологическая теория,коллективные/непрерывные,пересечение с экологической психологией,
2,Исследовать влияние социальных норм и культур на взаимодействие с природой,,нормы,культурная экология,индивидуальные/постепенные,аналогично антропологии,Да
3,Оценивать влияние городской инфраструктуры на социальное благополучие,Да,инфраструктура,системный анализ,институциональные/постепенные,пересечение с урбанистикой,
4,"Разрабатывать стратегии устойчивого сообщества (кооперативы, общественные сады)",Да,институты,устойчивое развитие,коллективные/каскадные,родственно пермакультуре,
5,Формировать совместное принятие решений (participatory governance),Условно,институты,партисипативная демократия,коллективные/постепенные,пересечение с политической экологией,
6,Проводить образовательные кампании по социальной и экологической справедливости,Да,ценности,эко‑справедливость,коллективные/непрерывные,аналогично движению экологической справедливости,
7,"Внедрять программы, направленные на уменьшение экологических неравенств",Да,институты,теория социальных детерминант здоровья,институциональные/коллективные,пересечение с общественным здоровьем,
8,Исследовать связи между структурой сообществ и экологическим поведением,Да,структура,социальная сеть,индивидуальные/непрерывные,аналогично социологии,
9,"Разрабатывать модели урбанизации, учитывающие человеческие и природные системы",Условно,пространство,метод социально‑экологической системы (SES),институциональные/каскадные,пересечение с городской экологией,
10,Проводить оценку влияния политических решений на социально‑экологическую систему,Условно,институты,оценка воздействия,институциональные/дискретные,аналогично экосистемным оценкам,
11,Исследовать роль технологий в формировании социальных экосистем,Да,технология/инфраструктура,техно‑экологическая динамика,индивидуальные/коллективные,пересечение с информационным обществом,
12,Проводить совместные проекты по благоустройству кварталов (urban greening),Да,пространство,устойчивая урбанистика,коллективные/каскадные,аналогично биофильному дизайну,
13,"Развивать местные экономики, ориентированные на устойчивость",Да,экономика/обмен,локальная экономика,коллективные/постепенные,аналогично экономике замкнутого цикла,
14,Моделировать влияние изменений климата на социальные системы,Условно,климат/время,климатическое моделирование,институциональные/экзогенные,пересечение с климатологией,
15,Проводить оценку экологической устойчивости предприятий (корпоративная устойчивость),Да,институты,ESG‑оценка,институциональные/дискретные,пересечение с корпоративной экологией,
