№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Приглашение (вербовка),Да,отношения,принцип включения,возможные; индивидуальные; мгновенные,Первый контакт с кандидатом
2,Секретное обучение,Да,содержание,принцип эксклюзивности,возможные; коллективные; постепенные,Передача скрытых знаний
3,Символическая смерть,Нет,значения,принцип перерождения,необходимые; индивидуальные; дискретные,Фаза отделения от старого
4,Лиминальный период,Нет,время/ритм,принцип неопределённости,необходимые; индивидуальные; континуальные,Промежуточное состояние
5,Получение тайного имени,Нет,идентичность/границы,принцип скрытой идентификации,необходимые; индивидуальные; мгновенные,Новый внутренний статус
6,Рукоположение (возложение рук),Да,отношения,принцип передачи,возможные; коллективные; мгновенные,Вхождение в духовное звание
7,Клятва верности,Нет,дискурс,принцип обязательства,необходимые; индивидуальные; мгновенные,Обещание следовать нормам
8,Получение инсигний,Да,символы,принцип отличия,возможные; коллективные; мгновенные,Знаки принадлежности
9,Праздничная церемония,Да,поведение,принцип признания,возможные; коллективные; дискретные,Официальное празднование
10,Принятие кодекса,Нет,нормы,принцип регламента,необходимые; индивидуальные; мгновенные,Подписание устава
11,Тест на навыки,Да,поведение,принцип компетенции,возможные; индивидуальные; дискретные,Доказательство готовности
12,Введение в ритуальный язык,Да,дискурс,принцип конфиденциальности,возможные; коллективные; постепенные,Изучение символов и кодов
13,Приобщение к тайне,Нет,содержание,принцип сакральности,необходимые; индивидуальные; мгновенные,Кульминация обряда
14,Обряд окончательного признания,Да,отношения,принцип легитимации,возможные; коллективные; мгновенные,Формальное утверждение статуса
15,Закрытие инициатического цикла,Да,время/ритм,принцип завершения,возможные; индивидуальные; мгновенные,Переход к обычной жизни
