№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Отделение,Нет,идентичность/границы,принцип разделения,необходимые; коллективные; дискретные,Начальная стадия перехода
2,"Очищение (омовение, курение)",Да,тело/материя,принцип очищения,возможные; индивидуальные; мгновенные,Подготовка к новому статусу
3,Испытание,Нет,поведение,принцип проверки,необходимые; индивидуальные; дискретные,Служит оценкой готовности
4,Посвящение,Нет,идентичность/границы,принцип принятия,необходимые; коллективные; дискретные,Вхождение в новую группу
5,Предоставление нового имени,Нет,идентичность/границы,принцип номинации,необходимые; коллективные; мгновенные,Имеет аналоги в обрядах крещения
6,Дарование символов (регалий),Да,символы,принцип легитимации,возможные; коллективные; мгновенные,Вручение атрибутов статуса
7,Переход по порогу,Нет,пространство,принцип лиминальности,необходимые; индивидуальные; дискретные,Физическое пересечение границы
8,Обход священного круга,Да,пространство,принцип центровки,возможные; коллективные; континуальные,Аналог хождению вокруг алтаря
9,Торжественное объявление,Да,дискурс,принцип публичности,возможные; коллективные; мгновенные,Возвещает новый статус
10,Воссоединение,Да,отношения,принцип интеграции,возможные; коллективные; мгновенные,Возвращение в сообщество
11,Благословение,Да,значения,принцип сакрализации,возможные; коллективные; мгновенные,Связанно с религиозной поддержкой
12,Обрезание / татуировка,Нет,тело/материя,принцип метки,необходимые; индивидуальные; дискретные,Создание знака принадлежности
13,Разделение волос (стрижка),Да,тело/материя,принцип обновления,возможные; индивидуальные; мгновенные,Символизирует новый этап
14,Принятие обета,Нет,дискурс,принцип обязательства,необходимые; индивидуальные; мгновенные,Установление новых правил поведения
15,Символическое погребение старого,Нет,память/наследие,принцип завершения,необходимые; коллективные; дискретные,Предшествует рождению нового
16,Танец перехода,Да,поведение,принцип выражения,возможные; коллективные; континуальные,Танец как ритуальный жест
17,Коммунальная трапеза,Да,экономика/обмен,принцип совместности,возможные; коллективные; мгновенные,Закрепляет единство
18,Ношение новой одежды,Да,тело/материя,принцип внешней идентификации,возможные; индивидуальные; мгновенные,Маркирует новый статус
