№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Распознавание сущности,Да,структура,онтологическая идентификация,индивидуальные/дискретные/необходимые,уникален
2,Смена онтологического статуса,Да,состояние,переклассификация бытия,индивидуальные/дискретные/неформальные,уникален
3,Введение новой категории бытия,Нет,структура,онтологическая инновация,индивидуальные/дискретные/неформальные,аналог в метафизике
4,Редукция онтологических уровней,Да,структура,упрощение картины бытия,индивидуальные/неформальные/дискретные,аналог в натурализме
5,Переход от субстанции к процессу,Да,структура,процессуализм,индивидуальные/континуальные/латентные,уникален
6,Укрепление онтологических границ,Да,идентичность/границы,онтологический барьер,индивидуальные/неформальные/постепенные,уникален
7,Размывание границ сущего,Нет,идентичность/границы,онтологическое растворение,индивидуальные/латентные/неформальные,аналог в восточной философии
8,Онтологическая демаркация,Да,структура,разделение реальностей,индивидуальные/дискретные/неформальные,аналог в философии науки
9,Переход между модусами бытия,Да,состояние,сдвиг модальности,индивидуальные/латентные/континуальные,уникален
10,Онтологическое включение,Да,отношения,встраивание сущности в систему,индивидуальные/постепенные/неформальные,аналог в системном мышлении
11,Изоляция онтологической зоны,Да,пространство,выделение особой реальности,индивидуальные/неформальные/дискретные,уникален
12,Онтологическая инфляция,Нет,структура,нагрузка реальности,индивидуальные/латентные/каскадные,аналог в гиперреализме
13,Фиксация бытия,Да,состояние,онтологическая статика,индивидуальные/неформальные/дискретные,аналог в эссенциализме
14,Онтологическая инверсия,Нет,структура,смена уровня онтологического приоритета,индивидуальные/дискретные/неформальные,уникален
15,Формирование модальности "возможное",Да,значения,онтологическая потенция,индивидуальные/неформальные/дискретные,аналог в модальной логике
16,Материализация сущности,Да,тело/материя,воплощение,индивидуальные/постепенные/неформальные,аналог в феноменологии
17,Разъединение сущего и несущего,Да,значения,онтологический дуализм,индивидуальные/дискретные/неформальные,уникален
18,Онтологическая реконфигурация,Нет,структура,изменение оснований,индивидуальные/латентные/неформальные,аналог в философии бытия
19,Эмергенция сущности,Нет,структура,всплытие нового,индивидуальные/неформальные/постепенные,аналог в холизме
20,Сокрытие бытия,Да,дискурс,онтологическая латентность,индивидуальные/неформальные/латентные,аналог в хайдеггеровской философии
21,Освобождение от бытия,Нет,состояние,онтологический отказ,индивидуальные/неформальные/мгновенные,уникален
22,Онтологическое заземление,Да,тело/материя,корпорализация,индивидуальные/континуальные/неформальные,аналог в телесных практиках
23,Временная стабилизация сущности,Да,время/ритм,приостановка движения,индивидуальные/дискретные/неформальные,уникален
24,Сдвиг масштаба бытия,Да,структура,онтологическая фрактализация,индивидуальные/континуальные/латентные,аналог в квантовой онтологии
25,Раздвоение сущности,Нет,структура,онтологическая мультипликация,индивидуальные/латентные/неформальные,аналог в нарративной философии
26,Распределённое бытие,Да,функция,онтологическая сеть,индивидуальные/континуальные/неформальные,аналог в латуровской теории
27,Инкапсуляция реальности,Да,пространство,онтологический пузырь,индивидуальные/латентные/дискретные,аналог в теории симулякров
28,Онтологическая сингуляризация,Нет,структура,сведение к одному,индивидуальные/мгновенные/неформальные,уникален
29,Переход от факта к событию,Да,состояние,онтологизация процесса,индивидуальные/континуальные/неформальные,аналог в процессуализме
30,Онтологическая декомпозиция,Да,структура,расщепление целого,индивидуальные/дискретные/неформальные,аналог в анализе
31,Контекстуализация бытия,Да,отношения,зависимость от окружения,индивидуальные/постепенные/неформальные,аналог в ситуационализме
32,Смена носителя бытия,Да,тело/материя,перенос воплощения,индивидуальные/неформальные/постепенные,аналог в биотехнологии
33,Вытеснение сущего,Нет,состояние,онтологическое забвение,индивидуальные/латентные/неформальные,уникален
34,Интенсификация присутствия,Да,состояние,экзистенциальное обострение,индивидуальные/континуальные/неформальные,аналог в экзистенциализме
35,Картографирование онтологических слоёв,Да,структура,таксономия реальностей,индивидуальные/неформальные/дискретные,уникален
36,Формализация реальности,Да,структура,онтологическая математизация,институциональные/необходимые/дискретные,аналог в физике
37,Фрагментация целого,Да,структура,разделение на уровни,индивидуальные/дискретные/неформальные,аналог в системном анализе
38,Метафизическая экстраполяция,Да,функция,перенос за пределы бытия,индивидуальные/неформальные/дискретные,аналог в теологии
39,Инверсия причинности,Нет,отношения,онтологическая реверсия,индивидуальные/неформальные/экзогенные,аналог в парадоксальных теориях
40,Активация потенции,Да,состояние,возможное в актуальное,индивидуальные/неформальные/постепенные,аналог в аристотелевской онтологии
41,Осознание пустоты,Нет,значения,онтологическая аннигиляция,индивидуальные/латентные/континуальные,аналог в дзэн-буддизме
42,Онтологическая турбулентность,Нет,структура,хаотизация сущего,индивидуальные/латентные/каскадные,уникален
43,Энтропизация бытия,Нет,состояние,распад структуры,индивидуальные/латентные/постепенные,аналог в термодинамике
44,Переход к инобытию,Нет,состояние,онтологическая трансцензия,индивидуальные/экзогенные/неформальные,аналог в мистике
45,Онтологическое прерывание,Нет,время/ритм,внезапная деструкция,индивидуальные/мгновенные/неформальные,уникален
46,Заземление категорий,Да,значения,онтологическая конкретизация,индивидуальные/дискретные/неформальные,уникален
47,Переопределение сущего,Да,значения,ревизия определений,индивидуальные/неформальные/дискретные,аналог в философии языка
48,Онтологическая экспликация,Да,дискурс,раскрытие уровня бытия,индивидуальные/дискретные/неформальные,аналог в аналитической философии
49,Смена перспективы бытия,Да,отношения,онтологическая релятивизация,индивидуальные/дискретные/неформальные,аналог в феноменологии
50,Сквозное онтологическое связывание,Да,структура,переплетение уровней,индивидуальные/постепенные/неформальные,аналог в кибернетике
51,Эпистемологическая онтологизация,Да,структура,перенос из знания в бытие,индивидуальные/неформальные/дискретные,уникален
