№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Интенциональный акт,Да,структура,сознание всегда направлено на объект,индивидуальные/неформальные/дискретные,аналог у Гуссерля
2,Феноменологическая редукция,Да,структура,отстранение от естественной установки,индивидуальные/неформальные/дискретные,уникально в феноменологии
3,Эпохе,Да,структура,скобление суждений о бытии,индивидуальные/неформальные/дискретные,аналог у Гуссерля
4,Ноэма,Да,содержание,то, что дано в сознании,индивидуальные/неформальные/континуальные,уникально в феноменологии
5,Ноэзис,Да,структура,акт сознания,индивидуальные/неформальные/континуальные,уникально в феноменологии
6,Горизонт восприятия,Да,структура,фон, на котором даны явления,индивидуальные/неформальные/постепенные,аналог в когнитивной психологии
7,Временная протенция,Да,время/ритм,ожидание будущего,индивидуальные/неформальные/дискретные,аналог у Гуссерля
8,Временная ретенция,Да,время/ритм,сохранение прошедшего,индивидуальные/неформальные/дискретные,аналог у Гуссерля
9,Живое настоящее,Да,состояние,схватывание настоящего момента,индивидуальные/неформальные/континуальные,аналог в феноменологии времени
10,Феноменологическая вариация,Да,структура,мысленное преобразование феномена,индивидуальные/неформальные/дискретные,аналог у Гуссерля
11,Телеология опыта,Да,структура,опыт всегда имеет направленность,индивидуальные/неформальные/континуальные,аналог в феноменологии
12,Телесная данность,Да,тело/материя,переживание тела как субъективного,индивидуальные/неформальные/континуальные,аналог у Мерло-Понти
13,Феноменологическое описание,Да,дискурс,фиксирование опыта как он дан,индивидуальные/неформальные/дискретные,аналог в философской методологии
14,Конституция смысла,Да,значения,создание значимости феномена,индивидуальные/неформальные/континуальные,аналог в герменевтике
15,Интерсубъективная данность,Да,отношения,опыт как разделяемый,коллективные/неформальные/постепенные,аналог в социальной феноменологии
16,Феноменологическая установка,Да,структура,смещение фокуса на то, как дано,индивидуальные/неформальные/дискретные,аналог в философии сознания
17,Схватывание феномена,Да,состояние,непосредственное переживание,индивидуальные/неформальные/мгновенные,аналог в интуиции
18,Прямое явление,Да,содержание,то, что открывается без посредников,индивидуальные/неформальные/дискретные,аналог в эмпиризме
19,Опосредованное явление,Да,содержание,данность через знаки,индивидуальные/неформальные/дискретные,аналог в семиотике
20,Реверсия перспективы,Да,структура,переход от внешнего к внутреннему,индивидуальные/неформальные/дискретные,аналог в психологии восприятия
21,Телесная перспектива,Да,структура,мир дан через тело,индивидуальные/неформальные/континуальные,аналог у Мерло-Понти
22,Феноменологическая очевидность,Да,значения,данность без сомнений,индивидуальные/неформальные/мгновенные,аналог у Гуссерля
23,Сомнение в очевидности,Да,значения,введение скобок в переживание,индивидуальные/неформальные/дискретные,аналог в философии сомнения
24,Феноменологическая интуиция,Да,структура,непосредственное схватывание,индивидуальные/неформальные/дискретные,аналог у Гуссерля
25,Аппрезентация,Да,структура,присутствие неполностью данного,индивидуальные/неформальные/дискретные,аналог у Гуссерля
26,Феноменологическая редукция тела,Да,тело/материя,переживание тела как феномена,индивидуальные/неформальные/дискретные,аналог у Мерло-Понти
27,Идеация,Да,структура,выделение сущности в опыте,индивидуальные/неформальные/дискретные,аналог у Гуссерля
28,Феноменологическая корреляция,Да,структура,связь ноэмы и ноэзиса,индивидуальные/неформальные/континуальные,уникально в феноменологии
29,Феноменологическая конкретизация,Да,структура,переход от общего к конкретному,индивидуальные/неформальные/дискретные,аналог в герменевтике
30,Феноменологическая абстракция,Да,структура,переход от конкретного к сущности,индивидуальные/неформальные/дискретные,аналог в философии
31,Снятие естественной установки,Да,структура,выход за пределы повседневности,индивидуальные/неформальные/дискретные,аналог у Гуссерля
32,Феноменологическая дескрипция времени,Да,время/ритм,описание временности опыта,индивидуальные/неформальные/дискретные,аналог в феноменологии
33,Феноменологическая дескрипция пространства,Да,пространство,описание пространственности опыта,индивидуальные/неформальные/дискретные,аналог в феноменологии
34,Феноменологическая вариация воображения,Да,структура,мысленное изменение образа,индивидуальные/неформальные/дискретные,аналог в эстетике
35,Феноменологическая конструкция,Да,структура,сборка опыта в целое,индивидуальные/неформальные/дискретные,аналог в философии сознания
36,Переживание интенционального объекта,Да,содержание,схватывание как данного,индивидуальные/неформальные/дискретные,аналог у Гуссерля
37,Феноменологическая очевидность тела,Да,тело/материя,переживание как собственное,индивидуальные/неформальные/континуальные,аналог в телесной феноменологии
38,Феноменологическая интерпретация,Да,значения,понимание феномена,индивидуальные/неформальные/дискретные,аналог в герменевтике
39,Герменевтическая феноменология,Да,структура,синтез понимания и данности,индивидуальные/неформальные/дискретные,аналог у Хайдеггера
40,Экзистенциальная феноменология,Да,структура,синтез опыта и бытия,индивидуальные/неформальные/дискретные,аналог у Сартра
41,Феноменологическая дескрипция образа,Да,содержание,описание восприятия,индивидуальные/неформальные/дискретные,аналог в эстетике
42,Феноменологическое различение,Да,структура,отделение феномена от сущности,индивидуальные/неформальные/дискретные,аналог в философии
