№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Формулирование гипотезы,Да,структура,создание проверяемого предположения,индивидуальные/неформальные/дискретные,аналог в научном методе
2,Операционализация,Да,структура,перевод понятия в измеримые индикаторы,индивидуальные/неформальные/дискретные,аналог в методологии
3,Фальсификация,Да,нормы,проверка опровержимостью,индивидуальные/неформальные/дискретные,аналог у Поппера
4,Верификация,Да,нормы,подтверждение гипотезы,индивидуальные/неформальные/дискретные,аналог в логическом позитивизме
5,Эмпирическая проверка,Да,содержание,сопоставление с наблюдением,индивидуальные/неформальные/дискретные,аналог в эмпиризме
6,Моделирование,Да,структура,создание упрощённой репрезентации,индивидуальные/неформальные/дискретные,аналог в системном подходе
7,Эксперимент,Да,функция,планомерное тестирование,индивидуальные/институциональные/дискретные,аналог в естественных науках
8,Наблюдение,Да,функция,фиксация явлений,индивидуальные/неформальные/континуальные,аналог в эмпиризме
9,Интерпретация данных,Да,значения,придание смысла результатам,индивидуальные/неформальные/дискретные,аналог в аналитике
10,Индукция,Да,структура,переход от частного к общему,индивидуальные/неформальные/дискретные,аналог у Бэкона
11,Дедукция,Да,структура,вывод частного из общего,индивидуальные/неформальные/дискретные,аналог в логике
12,Абдукция,Да,структура,поиск наилучшего объяснения,индивидуальные/неформальные/дискретные,аналог у Пирса
13,Формулировка закона,Да,структура,выражение универсального принципа,индивидуальные/неформальные/дискретные,аналог в физике
14,Формулировка теории,Да,структура,создание системы законов,коллективные/институциональные/постепенные,аналог в науке
15,Научная парадигма,Нет,нормы,господствующая исследовательская рамка,коллективные/институциональные/постепенные,аналог у Куна
16,Научная революция,Нет,нормы,смена парадигмы,коллективные/каскадные/дискретные,аналог у Куна
17,Нормальная наука,Да,нормы,накопление знаний в парадигме,коллективные/постепенные/неформальные,аналог в истории науки
18,Аномалия,Да,содержание,несоответствие теории и фактов,индивидуальные/неформальные/дискретные,аналог у Куна
19,Кризис теории,Нет,структура,накопление нерешаемых проблем,коллективные/постепенные/неформальные,аналог в эпистемологии
20,Элиминация гипотезы,Да,структура,отказ от неподтверждённого предположения,индивидуальные/неформальные/дискретные,аналог в науке
21,Конкуренция теорий,Да,отношения,соперничество объяснительных моделей,коллективные/неформальные/дискретные,аналог в философии науки
22,Интеграция теорий,Да,структура,объединение моделей,индивидуальные/неформальные/постепенные,аналог в междисциплинарности
23,Редукция теорий,Да,структура,сведение сложной к простой,индивидуальные/неформальные/дискретные,аналог в физике
24,Эмерджентность,Нет,структура,возникновение новых свойств,индивидуальные/неформальные/дискретные,аналог в системном подходе
25,Научная экспликация,Да,значения,раскрытие скрытых предпосылок,индивидуальные/неформальные/дискретные,аналог в логическом анализе
26,Научная идеализация,Да,структура,упрощение для анализа,индивидуальные/неформальные/дискретные,аналог в физике
27,Математизация,Да,структура,перевод в формальный язык,индивидуальные/неформальные/дискретные,аналог в математике
28,Формализация,Да,структура,создание аксиоматической системы,индивидуальные/неформальные/дискретные,аналог в логике
29,Операциональная дефиниция,Да,структура,определение через процедуры,индивидуальные/неформальные/дискретные,аналог в эмпиризме
30,Теоретическая нагрузка наблюдения,Да,содержание,влияние теории на восприятие фактов,индивидуальные/неформальные/дискретные,аналог в эпистемологии
31,Научное объяснение,Да,структура,раскрытие причин явления,индивидуальные/неформальные/дискретные,аналог у Хемпеля
32,Предсказание,Да,функция,выведение будущих явлений,индивидуальные/неформальные/дискретные,аналог в науке
33,Корреляция,Да,структура,связь между переменными,индивидуальные/неформальные/дискретные,аналог в статистике
34,Каузальность,Да,структура,причинная связь,индивидуальные/неформальные/дискретные,аналог в философии
35,Функциональное объяснение,Да,структура,объяснение по функции,индивидуальные/неформальные/дискретные,аналог в биологии
36,Историческое объяснение,Да,содержание,объяснение через прошлое,индивидуальные/неформальные/дискретные,аналог в истории науки
37,Сравнительный метод,Да,структура,поиск различий и сходств,индивидуальные/неформальные/дискретные,аналог в социологии
38,Множественная причинность,Да,структура,несколько источников явления,индивидуальные/неформальные/дискретные,аналог в социальной науке
39,Контрфактический анализ,Да,структура,исследование возможных сценариев,индивидуальные/неформальные/дискретные,аналог в философии науки
40,Моделирование на компьютере,Да,технология/инфраструктура,цифровая симуляция,индивидуальные/экзогенные/дискретные,аналог в вычислительной науке
41,Системный анализ,Да,структура,изучение целостных комплексов,индивидуальные/неформальные/дискретные,аналог в кибернетике
42,Кибернетизация науки,Нет,функция,перевод в термины управления,коллективные/институциональные/постепенные,аналог у Винера
43,Инструментализация,Да,функция,понимание теории как инструмента,индивидуальные/неформальные/дискретные,аналог в прагматизме
44,Реализм,Да,нормы,утверждение реальности объектов,индивидуальные/неформальные/дискретные,аналог в философии
45,Антиреализм,Да,нормы,отрицание независимого существования,индивидуальные/неформальные/дискретные,аналог в инструментализме
46,Конвенционализм,Да,нормы,признание условности,коллективные/неформальные/дискретные,аналог у Пуанкаре
47,Конструктивизм,Да,нормы,создание знания субъектом,индивидуальные/неформальные/дискретные,аналог в социологии знания
48,Релятивизм,Нет,нормы,отрицание универсальности,индивидуальные/неформальные/дискретные,аналог в культурной философии
49,Сциентизм,Нет,нормы,абсолютизация науки,коллективные/неформальные/дискретные,аналог в модернизме
50,Антисциентизм,Да,нормы,критика науки,индивидуальные/неформальные/дискретные,аналог в философии культуры
51,Интернализм,Да,структура,анализ науки «изнутри»,индивидуальные/неформальные/дискретные,аналог в эпистемологии
52,Экстернализм,Да,структура,объяснение науки через внешние факторы,индивидуальные/неформальные/дискретные,аналог в социологии науки
53,Кумулятивизм,Да,структура,накопление знаний,коллективные/неформальные/постепенные,аналог в классической модели
54,Антикумулятивизм,Нет,структура,скачкообразное развитие,коллективные/неформальные/дискретные,аналог у Куна
55,Этическая регуляция науки,Да,нормы,ограничение по ценностям,институциональные/неформальные/дискретные,аналог в биоэтике
56,Коммерциализация науки,Нет,экономика/обмен,влияние рынка,коллективные/неформальные/постепенные,аналог в политэкономии науки
57,Политизация науки,Нет,отношения,влияние власти,коллективные/неформальные/дискретные,аналог в социологии знания
58,Деполитизация науки,Да,отношения,очищение от влияния,коллективные/институциональные/дискретные,аналог в академической автономии
59,Социализация знания,Да,отношения,распространение в обществе,коллективные/неформальные/постепенные,аналог в STS
60,Секретизация науки,Нет,отношения,ограничение доступа,коллективные/институциональные/дискретные,аналог в военной науке
№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
61,Открытая наука,Да,нормы,свободный доступ к данным,коллективные/институциональные/постепенные,аналог в open science
62,Закрытая наука,Нет,нормы,ограничение публикаций,коллективные/институциональные/дискретные,аналог в секретных исследованиях
63,Интердисциплинарность,Да,структура,синтез знаний разных областей,коллективные/неформальные/постепенные,аналог в комплексных науках
64,Трансдисциплинарность,Да,структура,выход за рамки дисциплин,коллективные/неформальные/постепенные,аналог в философии науки
65,Международная коллаборация,Да,отношения,объединение исследователей разных стран,коллективные/неформальные/постепенные,аналог в глобальной науке
66,Научная коммуникация,Да,дискурс,обмен результатами,коллективные/неформальные/континуальные,аналог в публикациях
67,Рецензирование,Да,нормы,оценка качества,институциональные/неформальные/дискретные,аналог в peer review
68,Научная цензура,Нет,нормы,исключение по идеологическим причинам,институциональные/неформальные/дискретные,аналог в авторитарных режимах
69,Цитирование,Да,память/наследие,ссылка на предшественников,индивидуальные/неформальные/дискретные,аналог в научной культуре
70,Индексирование,Да,структура,включение в базы данных,институциональные/неформальные/постепенные,аналог в scientometrics
71,Наукометрия,Да,функция,количественный анализ публикаций,институциональные/неформальные/дискретные,аналог в scientometrics
72,Научный приоритет,Да,нормы,признание первенства открытия,индивидуальные/неформальные/дискретные,аналог в истории науки
