№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Экзистенциальная тревога,Да,состояние,переживание ничто и конечности,индивидуальные/неформальные/мгновенные,аналог у Хайдеггера
2,Экзистенциальный страх,Нет,состояние,парализующее столкновение с пустотой,индивидуальные/латентные/неформальные,аналог у Киркегора
3,Экзистенциальное удивление,Да,состояние,остановка перед абсурдом,индивидуальные/неформальные/мгновенные,аналог у Камю
4,Экзистенциальный выбор,Да,идентичность/границы,акт самоопределения,индивидуальные/неформальные/дискретные,аналог у Сартра
5,Экзистенциальная ответственность,Да,нормы,признание последствий выбора,индивидуальные/неформальные/постепенные,аналог в этике экзистенциализма
6,Экзистенциальная вина,Да,состояние,переживание несоответствия возможностям,индивидуальные/неформальные/дискретные,аналог у Хайдеггера
7,Экзистенциальное отчаяние,Нет,состояние,утрата надежды,индивидуальные/латентные/неформальные,аналог у Киркегора
8,Экзистенциальная решимость,Да,состояние,утверждение выбора несмотря на тревогу,индивидуальные/неформальные/дискретные,аналог у Хайдеггера
9,Экзистенциальная подлинность,Да,идентичность/границы,жизнь в соответствии с собой,индивидуальные/неформальные/постепенные,аналог у Сартра
10,Экзистенциальная неподлинность,Нет,идентичность/границы,жизнь в «они»,индивидуальные/латентные/неформальные,аналог у Хайдеггера
11,Экзистенциальное столкновение с абсурдом,Да,состояние,осознание бессмысленности,индивидуальные/неформальные/мгновенные,аналог у Камю
12,Принятие абсурда,Да,состояние,утверждение жизни без смысла,индивидуальные/неформальные/дискретные,аналог у Камю
13,Бунт против абсурда,Да,состояние,создание смысла вопреки,индивидуальные/неформальные/дискретные,аналог у Камю
14,Экзистенциальная свобода,Да,идентичность/границы,переживание возможности выбора,индивидуальные/неформальные/дискретные,аналог у Сартра
15,Тягость свободы,Нет,состояние,переживание бремени выбора,индивидуальные/латентные/неформальные,аналог у Сартра
16,Экзистенциальная заброшенность,Нет,состояние,переживание отсутствия внешних опор,индивидуальные/латентные/неформальные,аналог у Сартра
17,Экзистенциальная ситуация,Да,структура,узел выбора и обстоятельств,индивидуальные/неформальные/дискретные,аналог в экзистенциальной психологии
18,Экзистенциальное напряжение,Да,состояние,переживание конфликта возможностей,индивидуальные/неформальные/дискретные,аналог в психологии
19,Экзистенциальное самопереживание,Да,состояние,схватывание себя как бытия,индивидуальные/неформальные/дискретные,аналог в феноменологии
20,Экзистенциальная временность,Да,время/ритм,переживание конечности жизни,индивидуальные/неформальные/континуальные,аналог у Хайдеггера
21,Экзистенциальная конечность,Нет,состояние,неустранимость смерти,индивидуальные/латентные/неформальные,аналог у Хайдеггера
22,Экзистенциальное ничто,Нет,состояние,опыт пустоты,индивидуальные/латентные/неформальные,аналог у Хайдеггера
23,Экзистенциальное удивление бытием,Да,состояние,восторг от факта существования,индивидуальные/неформальные/мгновенные,аналог у Ясперса
24,Экзистенциальное пограничное переживание,Да,состояние,столкновение с предельной ситуацией,индивидуальные/неформальные/дискретные,аналог у Ясперса
25,Экзистенциальная коммуникация,Да,отношения,подлинный диалог,индивидуальные/неформальные/дискретные,аналог у Бубера
26,Я–Ты отношение,Да,отношения,подлинная встреча с Другим,индивидуальные/неформальные/дискретные,аналог у Бубера
27,Я–Оно отношение,Нет,отношения,инструментальное отношение,индивидуальные/латентные/неформальные,аналог у Бубера
28,Экзистенциальная забота,Да,отношения,принятие участия в бытии,индивидуальные/неформальные/постепенные,аналог у Хайдеггера
29,Экзистенциальная изоляция,Нет,состояние,переживание одиночества,индивидуальные/латентные/неформальные,аналог у Ялома
30,Экзистенциальная сопричастность,Да,отношения,переживание соединённости,индивидуальные/неформальные/дискретные,аналог у Ялома
31,Экзистенциальная надежда,Да,состояние,утверждение будущего,индивидуальные/неформальные/дискретные,аналог у Киркегора
32,Экзистенциальная безнадёжность,Нет,состояние,переживание невозможности будущего,индивидуальные/латентные/неформальные,аналог в экзистенциальной психологии
33,Экзистенциальная решимость к действию,Да,состояние,выбор поступка,индивидуальные/неформальные/дискретные,аналог в терапии
34,Экзистенциальная пассивность,Нет,состояние,отказ от выбора,индивидуальные/латентные/неформальные,аналог в кризисе
35,Экзистенциальное мужество,Да,состояние,готовность к принятию рисков,индивидуальные/неформальные/дискретные,аналог у Тиллиха
36,Экзистенциальная трусость,Нет,состояние,уклонение от выбора,индивидуальные/латентные/неформальные,аналог в экзистенциальной психологии
37,Экзистенциальная тоска,Нет,состояние,ощущение пустоты,индивидуальные/латентные/неформальные,аналог у Киркегора
38,Экзистенциальная радость,Да,состояние,переживание бытия как дара,индивидуальные/неформальные/мгновенные,аналог в экзистенциальной психологии
39,Экзистенциальная абсурдность,Нет,состояние,переживание противоречия,индивидуальные/латентные/неформальные,аналог у Камю
40,Экзистенциальная смыслотворчество,Да,значения,создание значимости,индивидуальные/неформальные/дискретные,аналог у Франкла
41,Экзистенциальная пустота,Нет,значения,отсутствие смысла,индивидуальные/латентные/неформальные,аналог у Франкла
42,Экзистенциальная вера,Да,значения,доверие вопреки абсурду,индивидуальные/неформальные/дискретные,аналог у Киркегора
43,Экзистенциальное сомнение,Да,значения,колебание смысла,индивидуальные/неформальные/дискретные,аналог в философии религии
44,Экзистенциальная истина,Да,значения,подлинное раскрытие бытия,индивидуальные/неформальные/дискретные,аналог у Ясперса
45,Экзистенциальная ложь,Нет,значения,самообман,индивидуальные/латентные/неформальные,аналог у Сартра
46,Экзистенциальная решимость к смерти,Да,состояние,принятие своей конечности,индивидуальные/неформальные/дискретные,аналог у Хайдеггера
47,Экзистенциальное бессмертие,Нет,состояние,отрицание конечности,индивидуальные/латентные/неформальные,аналог в религии
48,Экзистенциальная вина перед Другим,Да,отношения,осознание ущерба,индивидуальные/неформальные/дискретные,аналог в этике ответственности
49,Экзистенциальное прощение,Да,отношения,снятие вины,индивидуальные/неформальные/дискретные,аналог в философии религии
50,Экзистенциальная солидарность,Да,отношения,единение с другими,коллективные/неформальные/постепенные,аналог у Камю
51,Экзистенциальная разобщённость,Нет,отношения,разрыв связей,коллективные/латентные/неформальные,аналог в экзистенциальной психологии
52,Экзистенциальное молчание,Да,дискурс,отказ от речи,индивидуальные/неформальные/дискретные,аналог у Камю
53,Экзистенциальный крик,Да,дискурс,выражение предела,индивидуальные/неформальные/мгновенные,аналог в искусстве
54,Экзистенциальная речь,Да,дискурс,подлинное высказывание,индивидуальные/неформальные/дискретные,аналог в философии
55,Экзистенциальное молчаливое присутствие,Да,дискурс,быть с Другим без слов,индивидуальные/неформальные/дискретные,аналог в психотерапии
56,Экзистенциальная мука,Нет,состояние,переживание боли бытия,индивидуальные/латентные/неформальные,аналог в экзистенциальной литературе
57,Экзистенциальное облегчение,Да,состояние,снятие муки,индивидуальные/неформальные/дискретные,аналог в терапии
58,Экзистенциальное одиночество,Нет,состояние,переживание себя в изоляции,индивидуальные/латентные/неформальные,аналог у Ялома
59,Экзистенциальная сопричастность к миру,Да,отношения,переживание включённости,индивидуальные/неформальные/дискретные,аналог у Мерло-Понти
60,Экзистенциальное отчуждение,Нет,отношения,переживание себя чужим,индивидуальные/латентные/неформальные,аналог у Маркса и экзистенциалистов
№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
61,Экзистенциальная граница,Да,структура,осознание предела бытия,индивидуальные/неформальные/дискретные,аналог у Ясперса
62,Экзистенциальный прорыв,Нет,состояние,резкое преодоление границ,индивидуальные/латентные/неформальные,аналог в мистическом опыте
63,Экзистенциальное столкновение с судьбой,Нет,состояние,переживание предопределённости,индивидуальные/латентные/неформальные,аналог у Киркегора
64,Экзистенциальное принятие судьбы,Да,состояние,согласие с данным,индивидуальные/неформальные/дискретные,аналог у Ницше (amor fati)
65,Экзистенциальная трансценденция,Да,структура,выход за пределы фактичности,индивидуальные/неформальные/дискретные,аналог у Сартра
66,Экзистенциальная имманентность,Да,структура,жизнь в пределах данного,индивидуальные/неформальные/дискретные,аналог у Хайдеггера
67,Экзистенциальная экзальтация,Да,состояние,переживание возвышенного,индивидуальные/неформальные/мгновенные,аналог у Киркегора
68,Экзистенциальная апатия,Нет,состояние,отсутствие чувств в бытии,индивидуальные/латентные/неформальные,аналог в экзистенциальной психологии
69,Экзистенциальное сопротивление,Да,состояние,отказ подчиняться абсурду,индивидуальные/неформальные/дискретные,аналог у Камю
70,Экзистенциальное смирение,Да,состояние,принятие условий бытия,индивидуальные/неформальные/дискретные,аналог в религиозной философии
71,Экзистенциальное устремление,Да,структура,движение к возможности,индивидуальные/неформальные/дискретные,аналог у Ясперса
72,Экзистенциальная остановка,Нет,структура,застывание в фактичности,индивидуальные/латентные/неформальные,аналог в кризисах
73,Экзистенциальная открытость,Да,состояние,готовность к неожиданному,индивидуальные/неформальные/дискретные,аналог у Хайдеггера
74,Экзистенциальная закрытость,Нет,состояние,замкнутость на себе,индивидуальные/латентные/неформальные,аналог у Киркегора
75,Экзистенциальная решимость к смыслу,Да,значения,создание значимости,индивидуальные/неформальные/дискретные,аналог у Франкла
76,Экзистенциальная утрата смысла,Нет,значения,переживание пустоты,индивидуальные/латентные/неформальные,аналог в логотерапии
77,Экзистенциальная вера в бессмысленность,Нет,значения,утверждение отсутствия смысла,индивидуальные/латентные/неформальные,аналог у Камю
78,Экзистенциальная вера в смысл,Да,значения,создание ценности,индивидуальные/неформальные/дискретные,аналог у Франкла
79,Экзистенциальная перспектива времени,Да,время/ритм,переживание ограниченности,индивидуальные/неформальные/дискретные,аналог в экзистенциальной психологии
80,Экзистенциальная перспектива вечности,Нет,время/ритм,переживание вне-временного,индивидуальные/латентные/неформальные,аналог в религиозной мысли
81,Экзистенциальное ожидание,Да,время/ритм,переживание будущего,индивидуальные/неформальные/дискретные,аналог у Киркегора
82,Экзистенциальная задержка,Да,время/ритм,удерживание в настоящем,индивидуальные/неформальные/дискретные,аналог у Хайдеггера
83,Экзистенциальная ностальгия,Нет,память/наследие,переживание утраченного,индивидуальные/латентные/неформальные,аналог у Кьеркегора
84,Экзистенциальное воспоминание,Да,память/наследие,активное возвращение к прошлому,индивидуальные/неформальные/дискретные,аналог в феноменологии памяти
85,Экзистенциальное воображение,Да,структура,создание альтернативных миров,индивидуальные/неформальные/дискретные,аналог в философии
86,Экзистенциальное разочарование,Нет,состояние,столкновение ожидания и факта,индивидуальные/латентные/неформальные,аналог у Киркегора
87,Экзистенциальное вдохновение,Да,состояние,озарение возможностью,индивидуальные/неформальные/мгновенные,аналог у Ясперса
88,Экзистенциальное разочарование в Другом,Нет,отношения,утрата доверия,индивидуальные/латентные/неформальные,аналог в литературе экзистенциализма
89,Экзистенциальное доверие к Другому,Да,отношения,открытость чужому бытию,индивидуальные/неформальные/дискретные,аналог у Бубера
90,Экзистенциальное противостояние,Да,отношения,схватывание конфликта,индивидуальные/неформальные/дискретные,аналог в экзистенциальной психологии
91,Экзистенциальное отстранение,Да,отношения,дистанция от других,индивидуальные/неформальные/дискретные,аналог в феноменологии
92,Экзистенциальное сопереживание,Да,отношения,переживание чужого опыта,индивидуальные/неформальные/дискретные,аналог в эмпатии
