№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Прагматическая максимa,Да,значения,определение смысла через последствия,индивидуальные/неформальные/дискретные,аналог у Пирса
2,Прагматическая верификация,Да,функция,проверка истинности через действие,индивидуальные/неформальные/дискретные,аналог у Джеймса
3,Прагматическая фальсификация,Да,функция,опровержение через бесполезность,индивидуальные/неформальные/дискретные,аналог в философии науки
4,Прагматическое уточнение,Да,структура,прояснение понятия через практику,индивидуальные/неформальные/дискретные,аналог у Пирса
5,Прагматическое толкование,Да,значения,понимание идеи по её эффектам,индивидуальные/неформальные/дискретные,аналог у Джеймса
6,Прагматическая экспликация,Да,структура,раскрытие значения в действии,индивидуальные/неформальные/дискретные,аналог в герменевтике
7,Прагматическая редукция,Да,значения,сведение смысла к практическому,индивидуальные/неформальные/дискретные,аналог в аналитической философии
8,Прагматическое расширение,Да,значения,добавление новых применений,индивидуальные/неформальные/дискретные,аналог у Дьюи
9,Экспериментальное тестирование,Да,функция,проверка идеи действием,индивидуальные/неформальные/дискретные,аналог в науке
10,Инструментализм,Да,нормы,понимание теории как инструмента,индивидуальные/неформальные/дискретные,аналог у Дьюи
11,Прагматическое прогнозирование,Да,функция,оценка будущих эффектов,индивидуальные/неформальные/дискретные,аналог в футурологии
12,Прагматическая адаптация,Да,функция,изменение идеи под условия,индивидуальные/неформальные/постепенные,аналог у Дьюи
13,Прагматическая эволюция,Да,структура,развитие значений через практику,индивидуальные/неформальные/постепенные,аналог у Пирса
14,Прагматическая селекция,Да,структура,отбор полезных идей,индивидуальные/неформальные/дискретные,аналог в эволюционной эпистемологии
15,Прагматическая мутация,Да,структура,появление новых интерпретаций,индивидуальные/неформальные/дискретные,аналог в культурной эволюции
16,Прагматическая кумуляция,Да,память/наследие,накопление успешных практик,коллективные/неформальные/постепенные,аналог в науке
17,Прагматическая коррекция,Да,структура,исправление неработающего,индивидуальные/неформальные/дискретные,аналог у Джеймса
18,Прагматическая реконструкция,Да,структура,перестройка идеи,индивидуальные/неформальные/дискретные,аналог у Дьюи
19,Прагматическая гибридизация,Да,структура,соединение идей для пользы,индивидуальные/неформальные/дискретные,аналог в междисциплинарности
