№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Оценить местные потоки ресурсов,Да,экономика/обмен,Энергетический аудит,необходимые; дискретные; индивидуальные,Аналог в системной биологии
2,Внедрять бартерные системы,Да,экономика/обмен,Прямой обмен,возможные; дискретные; коллективные,Уникальность — безденежный обмен
3,Создавать локальные валюты,Да,институты,Феномен альтернативной экономики,возможные; дискретные; коллективные,Связь с устойчивыми сообществами
4,Формировать кооперативные модели собственности,Да,институты,Совместное владение,возможные; дискретные; коллективные,Аналог в социальном предпринимательстве
5,Поощрять этическое инвестирование,Да,нормы,Финансовая устойчивость,возможные; дискретные; индивидуальные,Уникальность — экологическая ответственность
6,Развивать экономику подарков и обмена,Да,экономика/обмен,Дарение ресурсов,возможные; дискретные; коллективные,Уникальная альтернатива
7,Создавать сети справедливой торговли,Да,экономика/обмен,Принцип честного обмена,возможные; дискретные; коллективные,Связь с глобальными движениями
8,Управлять ресурсами по принципу паевых фондов,Да,институты,Социальное инвестирование,возможные; дискретные; коллективные,Аналог mutual aid
9,Поддерживать сообщества CSA (Community Supported Agriculture),Да,экономика/обмен,Коллективное потребление,возможные; дискретные; коллективные,Уникальность для фермерства
10,Применять регенеративные бизнес-модели,Да,функция,Петлевые системы,возможные; постепенные; индивидуальные,Связь с системной медициной
11,Обеспечивать обмен навыками и знаниями без оплаты,Да,идентичность/границы,Открытый обмен,возможные; дискретные; коллективные,Аналог открытых данных
12,Строить циклическую экономику (повторное использование),Да,экономика/обмен,Нулевая отходность,возможные; постепенные; коллективные,Уникально для пермакультуры
13,Использовать свободный доступ к знаниям (open source),Да,память/наследие,Глобальное сотрудничество,возможные; дискретные; коллективные,Аналог в информатике
14,Оценивать экологический след экономической деятельности,Да,содержание,Принцип справедливого распределения,возможные; цикличные; коллективные,Связь с устойчивым развитием
15,Мониторинг социальной справедливости и корректировка систем,Да,отношения,Этический контроль,условно; цикличные; коллективные,Уникальность — социальная ответственность
