№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Устройство вертикальных садов на балконах,Да,пространство,Максимальное использование площади,возможные; постепенные; индивидуальные,Аналог в пищевых лесах
2,Создание садов на крышах,Да,пространство,Урбанальное озеленение,возможные; дискретные; коллективные,Уникально для города
3,Использование приподнятых грядок и контейнеров,Да,технология/инфраструктура,Оптимизация пространства,возможные; дискретные; индивидуальные,Аналог контейнерного садоводства
4,Сбор и использование дождевой воды с крыш,Да,технология/инфраструктура,Рациональное использование воды,возможные; дискретные; индивидуальные,Связь с водными системами
5,Комposting кухонных отходов,Да,тело/материя,Циркуляция питательных веществ,возможные; дискретные; индивидуальные,Аналог в почвоведении
6,Посадка местных видов в городских зелёных зонах,Да,структура,Биоразнообразие,возможные; постепенные; коллективные,Связано с социальной пермакультурой
7,Организация общественных огородов,Да,институты,Сотрудничество,возможные; постепенные; коллективные,Уникально для городских условий
8,Установка систем повторного использования серой воды,Да,технология/инфраструктура,Экономия воды,возможные; дискретные; индивидуальные,Связь с водными системами
9,Выращивание еды на общественных полосах,Да,пространство,Городское землепользование,возможные; постепенные; коллективные,Уникальное общественное участие
10,Проектирование съедобных ландшафтов в парках,Да,пространство,Системный дизайн,возможные; постепенные; коллективные,Связь с пищевыми лесами
11,"Интеграция городских животных (кур, пчёл)",Да,функция,Многофункциональность,возможные; постепенные; индивидуальные,Аналог в экономике
12,Использование возобновляемых источников энергии,Да,технология/инфраструктура,Энергетическая автономия,возможные; постепенные; коллективные,Связь с системным дизайном
13,Организация пермакультурных мастер-классов в городе,Да,дискурс,Образование,возможные; дискретные; коллективные,Уникально для урбанальной среды
14,Сотрудничество с муниципалитетом по созданию зелёной инфраструктуры,Да,институты,Партнёрство,возможные; постепенные; коллективные,Связь с политикой
15,Документировать и делиться успешными городскими моделями,Да,память/наследие,Передача опыта,возможные; дискретные; коллективные,Аналог в образовании
