№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Замес теста,Да,"структура; состояние","механическое распределение ингредиентов","необходимые; мгновенные; коллективные","кулинария"
2,Автолиз теста,Да,"структура; состояние","самопроизвольное увлажнение и разложение ферментами","возможные; постепенно; коллективные","хлебопечение"
3,Развитие клейковины,Да,"структура; состояние","сшивка белков глютена при замесе","возможные; постепенно; коллективные","выпечка"
4,Отдых теста,Да,"состояние; структура","расслабление клейковины","возможные; постепенно; коллективные","выпечка"
5,Ферментация дрожжевого теста,Нет,"содержание; структура","дрожжи выделяют CO₂ и спирт","необходимые; постепенно; коллективные","хлебопечение"
6,Подъём теста (расстойка),Да,"структура; состояние","накопление CO₂ в тесте","возможные; постепенно; коллективные","выпечка"
7,Обминка теста,Да,"структура; состояние","удаление излишков газа","возможные; мгновенные; коллективные","выпечка"
8,Формование заготовок,Да,"структура; состояние","придание формы перед выпечкой","возможные; мгновенные; коллективные","кулинария"
9,Надрезы (скоринг),Да,"структура; символы","контроль разрыва корки","возможные; мгновенные; индивидуальные","хлебопечение"
10,Выпекание (основной процесс),Нет,"состояние; структура","тепловая денатурация и реакция Майяра","необходимые; постепенно; коллективные","кулинария"
11,Паровая обработка теста,Да,"состояние; структура","пар задерживает образование корки","возможные; мгновенные; коллективные","хлебопечение"
12,Формирование корки,Нет,"структура; состояние","поверхностное испарение влаги и карамелизация","необходимые; постепенно; коллективные","выпечка"
13,Карамелизация сахаров,Нет,"содержание; состояние","разложение сахаров при высокой t","необходимые; мгновенные; коллективные","кулинария"
14,Реакция Майяра,Нет,"содержание; структура","реакция белков и сахаров даёт вкус и цвет","необходимые; постепенно; коллективные","кулинария"
15,Денатурация белков,Нет,"структура; состояние","свёртывание белков при нагревании","необходимые; мгновенные; коллективные","кулинария"
16,Гелеобразование крахмала (желатинизация),Нет,"структура; состояние","крахмал поглощает воду и клейстеризуется","необходимые; постепенно; коллективные","кулинария"
17,Образование пористой структуры,Нет,"структура; состояние","газовые пузырьки фиксируются в тесте","необходимые; постепенно; коллективные","выпечка"
18,Слоение (ламинование),Да,"структура; состояние","слои масла и теста создают слоистость","возможные; постепенно; коллективные","выпечка"
19,Раскатка теста,Да,"структура; состояние","уплощение заготовки","возможные; мгновенные; коллективные","кулинария"
20,Отсадка теста,Да,"структура; состояние","формирование порций с помощью мешка/машины","возможные; мгновенные; коллективные","кондитерское дело"
21,Охлаждение после выпечки,Да,"состояние; структура","стабилизация крошки и корки","возможные; постепенно; коллективные","кулинария"
22,Стабилизация мякиша,Да,"структура; состояние","фиксация структуры после остывания","возможные; постепенно; коллективные","хлебопечение"
23,Заглазуривание,Да,"структура; символы","нанесение глазури","возможные; мгновенные; коллективные","кондитерское дело"
24,Пудрирование,Да,"структура; символы","нанесение сахарной пудры","возможные; мгновенные; коллективные","кондитерское дело"
25,Глазировка шоколадом,Да,"структура; символы","покрытие шоколадом","возможные; мгновенные; коллективные","кондитерское дело"
26,Нанесение семян/топпингов,Да,"структура; символы","декоративные и вкусовые добавки","возможные; мгновенные; коллективные","выпечка"
27,Сушка сухарей,Нет,"состояние; структура","удаление влаги повторным запеканием","необходимые; постепенно; коллективные","выпечка"
28,Запекание с начинкой,Нет,"структура; содержание","одновременная термообработка и начинки","необходимые; постепенно; коллективные","кулинария"
29,Формирование хрустящей текстуры,Нет,"структура; состояние","интенсивная дегидратация при высокой t","необходимые; мгновенные; коллективные","выпечка"
30,Создание мягкой текстуры,Нет,"структура; состояние","низкая t и влага удерживают мягкость","необходимые; постепенно; коллективные","выпечка"
31,Выпечка на камне,Нет,"структура; пространство","жар от камня создаёт особую корку","необходимые; постепенно; коллективные","традиционная выпечка"
32,Выпечка в тандыре,Нет,"структура; пространство","высокая t и стенки печи","необходимые; постепенно; коллективные","традиционная кухня"
33,Выпечка в печи с дровами,Нет,"структура; пространство","дым и жар влияют на вкус","необходимые; постепенно; коллективные","традиционная кухня"
34,Выпечка в электродуховке,Нет,"структура; пространство","равномерный нагрев тэнами","необходимые; постепенно; коллективные","современная кухня"
35,Выпечка в пароконвектомате,Нет,"структура; пространство","пара+конвекция дают равномерность","необходимые; постепенно; коллективные","современная кухня"
36,Выпечка с пароувлажнением,Нет,"структура; пространство","увлажнение для развития корки","необходимые; постепенно; коллективные","хлебопечение"
