№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Стерилизация тепловая,Нет,"структура; состояние","нагрев выше 100°C уничтожает микроорганизмы","необходимые; постепенно; коллективные","пищевая промышленность"
2,Пастеризация,Нет,"структура; состояние","нагрев до 60–90°C сохраняет витамины частично","необходимые; постепенно; коллективные","пищевая промышленность"
3,Ультрапастеризация (UHT),Нет,"структура; состояние","нагрев до 135–150°C на секунды","необходимые; мгновенные; коллективные","современная кухня"
4,Автоклавирование,Нет,"структура; состояние","стерилизация под давлением","необходимые; постепенно; коллективные","пищевая промышленность"
5,Консервирование охлаждением,Да,"структура; состояние","понижение t до 0–4°C замедляет рост бактерий","возможные; постепенно; коллективные","кулинария"
6,Замораживание,Да,"структура; состояние","t ниже 0°C замедляет процессы разложения","возможные; постепенно; коллективные","кулинария"
7,Глубокая заморозка,Да,"структура; состояние","t ниже -18°C формирует мелкие кристаллы льда","возможные; постепенно; коллективные","современная кухня"
8,Шоковая заморозка,Да,"структура; состояние","очень быстрое охлаждение до -40°C","возможные; мгновенные; коллективные","современная кухня"
9,Сублимационная сушка (лиофилизация),Нет,"структура; состояние","удаление влаги через сублимацию льда","необходимые; постепенно; коллективные","фармацевтика; космическое питание"
10,Дегидратация воздушная,Нет,"структура; состояние","высушивание горячим воздухом","необходимые; постепенно; коллективные","традиционная кухня"
11,Дегидратация солнечная,Нет,"структура; состояние","сушка под прямыми лучами солнца","необходимые; постепенно; коллективные","архаическая кухня"
12,Дегидратация инфракрасная,Нет,"структура; состояние","использование ИК-излучения","необходимые; постепенно; коллективные","современная кухня"
13,Дегидратация микроволновая,Нет,"структура; состояние","удаление влаги под СВЧ-нагревом","необходимые; мгновенные; коллективные","современная кухня"
14,Маринование кислотное,Да,"структура; состояние","уксусная/лимонная кислота снижает pH","возможные; постепенно; коллективные","кулинария"
15,Маринование молочнокислое,Нет,"структура; состояние","лактобактерии понижают pH","необходимые; постепенно; коллективные","ферментация"
16,Соление сухое,Да,"структура; состояние","соль вытягивает влагу","возможные; постепенно; коллективные","традиционная кухня"
17,Соление влажное (рассол),Да,"структура; состояние","раствор соли проникает в продукт","возможные; постепенно; коллективные","традиционная кухня"
18,Соление комбинированное,Да,"структура; состояние","сухая + влажная соли","возможные; постепенно; коллективные","кулинария"
19,Посол нитритный,Нет,"структура; состояние","нитриты подавляют рост Clostridium botulinum","необходимые; постепенно; коллективные","мясная промышленность"
20,Копчение холодное,Нет,"структура; состояние","дым при низкой t консервирует","необходимые; постепенно; коллективные","традиционная кухня"
21,Копчение горячее,Нет,"структура; состояние","дым при высокой t + тепловая обработка","необходимые; постепенно; коллективные","традиционная кухня"
22,Копчение жидким дымом,Нет,"структура; состояние","обработка концентратом дыма","необходимые; мгновенные; коллективные","современная кухня"
23,Консервирование сахаром (варенье),Да,"структура; состояние","осмотическое давление высокого сахара","возможные; постепенно; коллективные","традиционная кухня"
24,Консервирование мёдом,Да,"структура; состояние","ферменты и высокая осмолярность мёда","возможные; постепенно; коллективные","архаическая кухня"
25,Консервирование спиртом,Да,"структура; состояние","алкоголь подавляет микроорганизмы","возможные; постепенно; коллективные","кулинария"
26,Консервирование уксусом,Да,"структура; состояние","снижение pH и антимикробный эффект","возможные; постепенно; коллективные","традиционная кухня"
27,Консервирование маслами,Да,"структура; состояние","жир вытесняет кислород","возможные; постепенно; коллективные","средиземноморская кухня"
28,Консервирование специями,Да,"структура; состояние","антибактериальные свойства пряностей","возможные; постепенно; коллективные","традиционная кухня"
29,Консервирование травами,Да,"структура; состояние","эфирные масла подавляют бактерии","возможные; постепенно; коллективные","традиционная кухня"
30,Консервирование золой,Нет,"структура; состояние","щелочная среда препятствует гниению","необходимые; постепенно; коллективные","африканская кухня"
31,Консервирование известью,Нет,"структура; состояние","Ca(OH)₂ стабилизирует среду","необходимые; постепенно; коллективные","традиционная кухня"
32,Консервирование в яме,Нет,"структура; пространство","захоронение продуктов в земле","необходимые; постепенно; коллективные","архаическая кухня"
33,Консервирование в песке,Да,"структура; пространство","сухой песок замедляет разложение","возможные; постепенно; коллективные","традиционная кухня"
34,Консервирование в золe,Нет,"структура; пространство","пепел препятствует росту бактерий","необходимые; постепенно; коллективные","архаическая кухня"
35,Консервирование в торфе,Нет,"структура; пространство","кислая среда болот консервирует","необходимые; постепенно; коллективные","историческая кухня"
36,Консервирование в мёде,Да,"структура; пространство","сохранение фруктов и орехов","возможные; постепенно; коллективные","традиционная кухня"
37,Консервирование в масле,Да,"структура; пространство","масло вытесняет кислород","возможные; постепенно; коллективные","средиземноморская кухня"
38,Консервирование в воске,Да,"структура; пространство","покрытие продуктa воском","возможные; постепенно; коллективные","традиционная кухня"
39,Консервирование в парафине,Да,"структура; пространство","изоляция парафином","возможные; постепенно; коллективные","современная кухня"
40,Вакуумирование,Да,"структура; пространство","удаление кислорода из упаковки","возможные; мгновенные; коллективные","пищевая промышленность"
41,Модифицированная газовая среда (MAP),Да,"структура; пространство","замена воздуха на CO₂/N₂","возможные; мгновенные; коллективные","современная кухня"
42,Высокое гидростатическое давление (HPP),Да,"структура; состояние","давление 400–600 МПа уничтожает микроорганизмы","возможные; мгновенные; коллективные","современная кухня"
43,Ионизирующее излучение,Нет,"структура; состояние","гамма-лучи убивают бактерии","необходимые; мгновенные; коллективные","пищевая промышленность"
44,УФ-облучение,Да,"структура; состояние","ультрафиолет снижает количество микробов","возможные; мгновенные; коллективные","современная кухня"
45,Электроплазменная обработка,Да,"структура; состояние","плазма разрушает клетки микроорганизмов","возможные; мгновенные; коллективные","экспериментальная кухня"
46,Ультразвуковая обработка,Да,"структура; состояние","кавитация разрушает микроорганизмы","возможные; мгновенные; коллективные","современная кухня"
47,Озонирование,Да,"структура; состояние","O₃ убивает бактерии и плесень","возможные; мгновенные; коллективные","современная кухня"
48,Фумигация,Нет,"структура; пространство","обработка продуктa газами","необходимые; мгновенные; коллективные","аграрная практика"
49,Консервирование вакуумно-сублимационное,Нет,"структура; состояние","вакуум + сублимация","необходимые; постепенно; коллективные","современная кухня"
50,Консервирование CO₂,Да,"структура; состояние","повышенная концентрация углекислого газа","возможные; мгновенные; коллективные","современная кухня"
51,Консервирование азотом,Да,"структура; состояние","замещение кислорода азотом","возможные; мгновенные; коллективные","современная кухня"
52,Консервирование благородными газами,Да,"структура; состояние","аргон, криптон подавляют бактерии","возможные; мгновенные; коллективные","экспериментальная кухня"
53,Консервирование гиперсолёностью,Нет,"структура; состояние","экстремальные концентрации соли","необходимые; постепенно; коллективные","традиционная кухня"
54,Консервирование гиперсладостью,Нет,"структура; состояние","экстремальные концентрации сахара","необходимые; постепенно; коллективные","традиционная кухня"
55,Консервирование комбинированное (hurdle technology),Нет,"структура; состояние","комбинация факторов (pH+температура+давление)","необходимые; постепенно; коллективные","современная кухня"
56,Консервирование в глине,Нет,"структура; пространство","глина как герметичная среда","необходимые; постепенно; коллективные","архаическая кухня"
57,Консервирование в коже,Нет,"структура; пространство","упаковка в шкуру животных","необходимые; постепенно; коллективные","историческая кухня"
58,Консервирование в керамике,Нет,"структура; пространство","хранение в герметичных сосудах","необходимые; постепенно; коллективные","традиционная кухня"
59,Консервирование в металле,Нет,"структура; пространство","жестяные банки","необходимые; постепенно; коллективные","современная кухня"
60,Консервирование в стекле,Нет,"структура; пространство","банки стеклянные","необходимые; постепенно; коллективные","традиционная кухня"
61,Консервирование в пластике,Нет,"структура; пространство","пластиковая тара как упаковка","необходимые; постепенно; коллективные","современная кухня"
62,Консервирование в вакуумных пакетах,Да,"структура; пространство","удаление воздуха и герметизация","возможные; мгновенные; коллективные","современная кухня"
63,Консервирование в тетра-паке,Нет,"структура; пространство","многослойная упаковка с барьером","необходимые; постепенно; коллективные","современная кухня"
64,Консервирование в фольге,Нет,"структура; пространство","алюминиевая защита от света и кислорода","необходимые; постепенно; коллективные","современная кухня"
65,Консервирование в парафиновой бумаге,Да,"структура; пространство","барьер от влаги и воздуха","возможные; постепенно; коллективные","традиционная кухня"
66,Консервирование в вакуумных банках,Да,"структура; пространство","банки с удалением кислорода","возможные; постепенно; коллективные","современная кухня"
67,Консервирование в герметичных ампулах,Нет,"структура; пространство","стерильное запаивание ампул","необходимые; постепенно; коллективные","фармацевтика"
68,Консервирование сухим льдом,Да,"структура; состояние","t -78°C быстро охлаждает продукты","возможные; мгновенные; коллективные","современная кухня"
69,Консервирование жидким азотом,Да,"структура; состояние","t -196°C мгновенно замораживает","возможные; мгновенные; коллективные","молекулярная кухня"
70,Консервирование в холодных погребах,Да,"структура; пространство","низкая температура под землей","возможные; постепенно; коллективные","традиционная кухня"
71,Консервирование в ледниках,Да,"структура; пространство","лед сохраняет продукты","возможные; постепенно; коллективные","архаическая кухня"
72,Консервирование в снежных ямах,Да,"структура; пространство","снег удерживает низкую t","возможные; постепенно; коллективные","традиционная кухня"
73,Консервирование в вакуумных капсулах,Да,"структура; пространство","капсулирование без кислорода","возможные; мгновенные; коллективные","современная кухня"
74,Консервирование в криокамерах,Да,"структура; пространство","низкие температуры -80°C","возможные; мгновенные; коллективные","экспериментальная кухня"
75,Консервирование ультрахолодное,Да,"структура; состояние","экстремально низкие температуры","возможные; мгновенные; коллективные","современная кухня"
76,Консервирование гипобарическое,Да,"структура; состояние","пониженное давление тормозит развитие микробов","возможные; постепенно; коллективные","экспериментальная кухня"
77,Консервирование гипербарическое,Да,"структура; состояние","повышенное давление подавляет ферменты","возможные; постепенно; коллективные","современная кухня"
78,Консервирование плазменное,Да,"структура; состояние","плазма стерилизует поверхность","возможные; мгновенные; коллективные","экспериментальная кухня"
79,Консервирование радиационное,Нет,"структура; состояние","ионизирующее излучение убивает микроорганизмы","необходимые; мгновенные; коллективные","пищевая промышленность"
80,Консервирование электрополем,Да,"структура; состояние","импульсы электрического поля разрушают клетки","возможные; мгновенные; коллективные","современная кухня"
81,Консервирование магнитным полем,Да,"структура; состояние","магнитное поле снижает активность ферментов","возможные; мгновенные; коллективные","экспериментальная кухня"
82,Консервирование ультразвуком,Да,"структура; состояние","кавитация повреждает микроорганизмы","возможные; мгновенные; коллективные","современная кухня"
83,Консервирование высокочастотное,Да,"структура; состояние","радиоволны нагревают и убивают микробов","возможные; мгновенные; коллективные","экспериментальная кухня"
84,Консервирование пламенем,Нет,"структура; состояние","обжигание поверхности продукта","необходимые; мгновенные; коллективные","традиционная кухня"
85,Консервирование дегидрированием в вакууме,Нет,"структура; состояние","влага удаляется в вакууме","необходимые; постепенно; коллективные","современная кухня"
86,Консервирование копчёным дымом в вакууме,Нет,"структура; состояние","вакуум + ароматизация дымом","необходимые; постепенно; коллективные","современная кухня"
87,Консервирование маринадом с маслом,Да,"структура; состояние","кислота + масло изолируют продукт","возможные; постепенно; коллективные","средиземноморская кухня"
88,Консервирование маринадом сладким,Да,"структура; состояние","сахар + кислота создают барьер","возможные; постепенно; коллективные","традиционная кухня"
89,Консервирование маринадом острым,Да,"структура; состояние","острые специи + кислота подавляют микрофлору","возможные; постепенно; коллективные","азиатская кухня"
90,Консервирование маринадом пряным,Да,"структура; состояние","ароматические специи + уксус","возможные; постепенно; коллективные","традиционная кухня"
91,Консервирование маринадом молочнокислым,Нет,"структура; состояние","ферментация в кислой среде","необходимые; постепенно; коллективные","азиатская кухня"
92,Консервирование маринадом комбинированным,Нет,"структура; состояние","сахар + соль + кислота + специи","необходимые; постепенно; коллективные","кулинария"
93,Консервирование в солевом растворе насыщенном,Нет,"структура; состояние","сверхвысокая концентрация соли","необходимые; постепенно; коллективные","традиционная кухня"
94,Консервирование в сахарном сиропе густом,Нет,"структура; состояние","осмотическая консервация фруктов","необходимые; постепенно; коллективные","традиционная кухня"
95,Консервирование в патоке,Нет,"структура; состояние","вязкая среда блокирует рост микробов","необходимые; постепенно; коллективные","традиционная кухня"
96,Консервирование в мёде натуральном,Да,"структура; состояние","антибактериальные свойства мёда","возможные; постепенно; коллективные","архаическая кухня"
97,Консервирование в сиропе фруктовом,Да,"структура; состояние","сахар + кислота фруктов","возможные; постепенно; коллективные","кулинария"
98,Консервирование в карамели,Нет,"структура; состояние","карамельная оболочка изолирует продукт","необходимые; мгновенные; коллективные","десертная кухня"
99,Консервирование в шоколаде,Нет,"структура; состояние","шоколад защищает от окисления","необходимые; мгновенные; коллективные","десертная кухня"
100,Консервирование в жировой оболочке,Да,"структура; состояние","жир блокирует доступ кислорода","возможные; постепенно; коллективные","традиционная кухня"
101,Консервирование в молоке,Да,"структура; состояние","молочный жир и белки замедляют разложение","возможные; постепенно; коллективные","традиционная кухня"
102,Консервирование в сыворотке,Да,"структура; состояние","молочная кислота регулирует pH","возможные; постепенно; коллективные","традиционная кухня"
103,Консервирование в йогурте,Нет,"структура; состояние","молочнокислая среда подавляет микробы","необходимые; постепенно; коллективные","традиционная кухня"
104,Консервирование в кефире,Нет,"структура; состояние","ферментация молочнокислыми бактериями","необходимые; постепенно; коллективные","традиционная кухня"
105,Консервирование в простокваше,Нет,"структура; состояние","молочнокислая консервация","необходимые; постепенно; коллективные","традиционная кухня"
106,Консервирование в сырах твёрдых,Нет,"структура; состояние","созревание и соление","необходимые; постепенно; коллективные","традиционная кухня"
107,Консервирование в сырах мягких,Нет,"структура; состояние","ферментация + плесень","необходимые; постепенно; коллективные","традиционная кухня"
108,Консервирование в масляных эмульсиях,Да,"структура; состояние","жиры стабилизируют продукт","возможные; постепенно; коллективные","средиземноморская кухня"
109,Консервирование в желе фруктовом,Да,"структура; состояние","пектин+сахар образуют барьер","возможные; постепенно; коллективные","традиционная кухня"
110,Консервирование в пектиновых гелях,Да,"структура; состояние","гели удерживают влагу и кислоты","возможные; постепенно; коллективные","современная кухня"
111,Консервирование в агаровых гелях,Да,"структура; состояние","агар удерживает продукт","возможные; постепенно; коллективные","современная кухня"
112,Консервирование в альгинатных капсулах,Да,"структура; состояние","ионная гелевая оболочка","возможные; мгновенные; коллективные","молекулярная кухня"
113,Консервирование в желатиновых капсулах,Да,"структура; состояние","желатиновая оболочка","возможные; мгновенные; коллективные","фармацевтика; молекулярная кухня"
114,Консервирование в коллагеновой оболочке,Нет,"структура; состояние","натуральный белок как барьер","необходимые; постепенно; коллективные","мясная промышленность"
115,Консервирование в целлюлозной оболочке,Нет,"структура; состояние","растительная клетчатка защищает","необходимые; постепенно; коллективные","мясная промышленность"
116,Консервирование в полимерной оболочке,Нет,"структура; состояние","искусственные плёнки","необходимые; постепенно; коллективные","современная кухня"
117,Консервирование в восковых капсулах,Да,"структура; состояние","воск создаёт герметичный барьер","возможные; постепенно; коллективные","традиционная кухня"
118,Консервирование в сахарной глазури,Нет,"структура; состояние","сахарная оболочка изолирует продукт","необходимые; мгновенные; коллективные","десертная кухня"
119,Консервирование в крахмальной оболочке,Да,"структура; состояние","крахмал удерживает влагу","возможные; постепенно; коллективные","современная кухня"
120,Консервирование в рисовой оболочке,Да,"структура; состояние","рисовый крахмал стабилизирует продукт","возможные; постепенно; коллективные","азиатская кухня"
121,Консервирование в соевых пастах,Нет,"структура; состояние","ферментация сои (мисо, доенджан)","необходимые; постепенно; коллективные","азиатская кухня"
122,Консервирование в рыбных соусах,Нет,"структура; состояние","ферментация рыбы и морепродуктов","необходимые; постепенно; коллективные","азиатская кухня"
123,Консервирование в уксусных редукциях,Да,"структура; состояние","сильнокислая среда подавляет микробы","возможные; постепенно; коллективные","кулинария"
124,Консервирование в вине,Да,"структура; состояние","алкоголь + кислота стабилизируют продукт","возможные; постепенно; коллективные","средиземноморская кухня"
125,Консервирование в пиве,Да,"структура; состояние","дрожжи + спирт + горечь хмеля","возможные; постепенно; коллективные","европейская кухня"
126,Консервирование в сидре,Да,"структура; состояние","алкоголь и кислота яблок","возможные; постепенно; коллективные","традиционная кухня"
127,Консервирование в медовухе,Да,"структура; состояние","мёд + алкоголь","возможные; постепенно; коллективные","традиционная кухня"
128,Консервирование в квасе,Нет,"структура; состояние","молочнокислое брожение + CO₂","необходимые; постепенно; коллективные","славянская кухня"
129,Консервирование в чайных настоях,Да,"структура; состояние","полифенолы чая обладают антимикробным эффектом","возможные; постепенно; коллективные","азиатская кухня"
130,Консервирование в кофейных экстрактах,Да,"структура; состояние","кофеин и кислоты ингибируют микрофлору","возможные; постепенно; коллективные","современная кухня"
131,Консервирование в шоколадных массах,Нет,"структура; состояние","какао-масло и сахар защищают","необходимые; постепенно; коллективные","десертная кухня"
132,Консервирование в карамельных массах,Нет,"структура; состояние","сахарная карамель образует барьер","необходимые; мгновенные; коллективные","десертная кухня"
133,Консервирование в пряных пастах,Нет,"структура; состояние","смеси специй и масел","необходимые; постепенно; коллективные","азиатская кухня"
134,Консервирование в ореховых пастах,Да,"структура; состояние","жиры и протеины орехов замедляют разложение","возможные; постепенно; коллективные","кулинария"
135,Консервирование в семенных пастах,Да,"структура; состояние","кунжут, подсолнечник, льняное семя","возможные; постепенно; коллективные","кулинария"
136,Консервирование в жгучих соусах,Да,"структура; состояние","капсаицин и кислота подавляют бактерии","возможные; мгновенные; коллективные","латиноамериканская кухня"
137,Консервирование в пряных настойках,Да,"структура; состояние","алкоголь + специи стабилизируют","возможные; постепенно; коллективные","средиземноморская кухня"
138,Консервирование в травяных экстрактах,Да,"структура; состояние","эфирные масла защищают продукт","возможные; постепенно; коллективные","традиционная кухня"
139,Консервирование в соусах острых,Да,"структура; состояние","уксус + специи + чили","возможные; мгновенные; коллективные","азиатская кухня"
140,Консервирование в соусах сладких,Да,"структура; состояние","сахар + кислота","возможные; постепенно; коллективные","десертная кухня"
141,Консервирование в соусах фруктовых,Да,"структура; состояние","фруктовые кислоты и сахара","возможные; постепенно; коллективные","кулинария"
142,Консервирование в соусах молочных,Нет,"структура; состояние","молочнокислая ферментация","необходимые; постепенно; коллективные","традиционная кухня"
143,Консервирование в соусах бобовых,Нет,"структура; состояние","ферментация бобов (натто)","необходимые; постепенно; коллективные","азиатская кухня"
144,Консервирование в комбинированных средах,Нет,"структура; состояние","соль + кислота + сахар","необходимые; постепенно; коллективные","современная кухня"
145,Консервирование методом парафиновых колпачков,Да,"структура; пространство","герметизация воском/парафином","возможные; постепенно; коллективные","традиционная кухня"
146,Консервирование методом герметичных пробок,Да,"структура; пространство","металлические крышки создают вакуум","возможные; постепенно; коллективные","традиционная кухня"
147,Консервирование методом закатки,Да,"структура; пространство","герметизация стеклянных банок","возможные; постепенно; коллективные","традиционная кухня"
148,Консервирование методом стерильной фильтрации,Нет,"структура; состояние","фильтры удаляют микроорганизмы","необходимые; мгновенные; коллективные","фармацевтика"
149,Консервирование методом мембранного разделения,Да,"структура; состояние","ультрафильтрация","возможные; постепенно; коллективные","современная кухня"
150,Консервирование методом обратного осмоса,Да,"структура; состояние","вода удаляется через мембрану","возможные; постепенно; коллективные","современная кухня"
151,Консервирование методом ионообменных смол,Да,"структура; состояние","смолы связывают нежелательные соединения","возможные; постепенно; коллективные","экспериментальная кухня"
152,Консервирование методом сорбентов,Да,"структура; состояние","активированный уголь поглощает токсины","возможные; мгновенные; коллективные","современная кухня"
153,Консервирование методом глицерина,Да,"структура; состояние","гигроскопичность удерживает влагу","возможные; постепенно; коллективные","фармацевтика"
154,Консервирование методом пропиленгликоля,Да,"структура; состояние","антисептический эффект","возможные; постепенно; коллективные","современная кухня"
155,Консервирование методом этиленгликоля,Нет,"структура; состояние","токсичный консервант (технический)","необходимые; постепенно; коллективные","непищевое применение"
156,Консервирование методом органических кислот,Да,"структура; состояние","сорбиновая, бензойная кислоты","возможные; постепенно; коллективные","пищевая промышленность"
157,Консервирование методом эфиров,Да,"структура; состояние","эфирные соединения подавляют рост","возможные; постепенно; коллективные","экспериментальная кухня"
