№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Эмульгирование масляно-водное,Да,"структура; состояние","соединение масла и воды с эмульгатором","возможные; мгновенные; коллективные","кулинария"
2,Эмульгирование обратное (вода в масле),Да,"структура; состояние","создание стабильной обратной эмульсии","возможные; мгновенные; коллективные","кулинария"
3,Стабилизация эмульсии,Да,"структура; состояние","использование лецитина, горчицы или желтка","возможные; постепенно; коллективные","кулинария"
4,Разделение эмульсии,Да,"структура; состояние","фазовое расслоение при нарушении стабильности","возможные; мгновенные; коллективные","кулинария"
5,Взбивание эмульсии,Да,"структура; состояние","механическое диспергирование жира в жидкости","возможные; мгновенные; коллективные","кулинария"
6,Редукция соуса,Нет,"содержание; структура","уваривание жидкости для концентрации вкуса","необходимые; постепенно; коллективные","кулинария"
7,Деглазирование,Да,"содержание; структура","растворение поджаристых частиц жидкостью","возможные; мгновенные; коллективные","кулинария"
8,Загущение крахмалом,Да,"структура; состояние","крахмал связывает воду при нагреве","возможные; постепенно; коллективные","кулинария"
9,Загущение мукой (ру),Да,"структура; состояние","мука обжаривается в жире и связывает жидкость","возможные; постепенно; коллективные","кулинария"
10,Загущение желтком,Да,"структура; состояние","коагуляция белков яичного желтка","возможные; постепенно; коллективные","кулинария"
11,Загущение сливками,Да,"структура; состояние","жирные сливки увеличивают вязкость","возможные; мгновенные; коллективные","кулинария"
12,Загущение желатином,Да,"структура; состояние","гелеобразование при охлаждении","возможные; постепенно; коллективные","кулинария"
13,Загущение агаром,Да,"структура; состояние","гелеобразование при охлаждении","возможные; постепенно; коллективные","кулинария"
14,Загущение ксантаном,Да,"структура; состояние","гидроколлоид создаёт вязкость","возможные; мгновенные; коллективные","кулинария"
15,Загущение гуаром,Да,"структура; состояние","гидроколлоид удерживает влагу","возможные; мгновенные; коллективные","кулинария"
16,Монтерование маслом,Да,"структура; состояние","взбивание холодного масла в соус","возможные; мгновенные; коллективные","французская кухня"
17,Эмульгирование с лецитином,Да,"структура; состояние","соединение фаз при помощи соевого лецитина","возможные; мгновенные; коллективные","молекулярная кухня"
18,Эмульгирование с горчицей,Да,"структура; состояние","горчичные масла стабилизируют эмульсию","возможные; мгновенные; коллективные","кулинария"
19,Эмульгирование с яйцом,Да,"структура; состояние","желток стабилизирует майонез/голландский","возможные; мгновенные; коллективные","кулинария"
20,Эмульгирование с медом,Да,"структура; состояние","сахара и коллоиды мёда стабилизируют","возможные; мгновенные; коллективные","кулинария"
21,Соединение соуса на основе масла,Да,"структура; состояние","соусы винегрет, айоли","возможные; мгновенные; коллективные","кулинария"
22,Соединение соуса на основе молочных продуктов,Да,"структура; состояние","сливки, сметана как база","возможные; мгновенные; коллективные","кулинария"
23,Соединение соуса на основе бульона,Да,"структура; состояние","уваривание костного или овощного бульона","возможные; постепенно; коллективные","кулинария"
24,Соединение соуса на основе вина,Да,"структура; состояние","редукция вина и добавки","возможные; постепенно; коллективные","французская кухня"
25,Соединение соуса на основе уксуса,Да,"структура; состояние","уксус как кислота и ароматизатор","возможные; мгновенные; коллективные","кулинария"
26,Соединение соуса на основе сои,Нет,"структура; состояние","брожение сои + ферменты","необходимые; постепенно; коллективные","азиатская кухня"
27,Соединение соуса на основе рыбы,Нет,"структура; состояние","ферментация рыбы (гарум, нам пла)", "необходимые; постепенно; коллективные","азиатская кухня"
28,Соединение соуса на основе орехов,Да,"структура; состояние","измельчение и эмульгирование орехов","возможные; мгновенные; коллективные","кулинария"
