№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,"Выполнение упражнений, вызывающих вибрацию",Да,тело/материя,вибрация,возможные; дискретные; индивидуальные; явные,TRE
2,Активация естественного рефлекса дрожи,Да,состояние,рефлекс,возможные; континуальные; индивидуальные; явные,
3,Растяжение мышц для запуска вибраций,Да,функция,растяжка,возможные; дискретные; индивидуальные; явные,
4,Следование последовательности из семи упражнений,Да,структура,протокол,необходимые; дискретные; индивидуальные; явные,
5,Освобождение напряжения в подвздошно-поясничных мышцах,Да,тело/материя,освобождение,возможные; постепенные; индивидуальные; явные,
6,Практика в безопасной и контролируемой среде,Да,пространство,безопасность,необходимые; мгновенные; коллективные; явные,
7,Поощрение самостоятельного применения вне терапии,Да,функция,самопомощь,возможные; континуальные; индивидуальные; явные,
8,Мониторинг физических и эмоциональных реакций,Да,состояние,наблюдение,необходимые; континуальные; индивидуальные; явные,
9,Интеграция TRE в групповые занятия,Да,отношения,групповая динамика,возможные; дискретные; коллективные; явные,
10,Связывание дыхания с запуском дрожи,Да,время/ритм,дыхание,возможные; континуальные; индивидуальные; явные,
11,Позволение вибрациям закончиться естественно,Да,время/ритм,саморегуляция,возможные; дискретные; индивидуальные; явные,
12,Обучение техникам саморегуляции,Да,функция,саморегуляция,возможные; постепенные; индивидуальные; явные,
13,Модификация упражнений для разных возможностей,Да,нормы,адаптация,возможные; дискретные; индивидуальные; явные,
14,Сочетание TRE с майндфулнесс,Да,состояние,майндфулнесс,возможные; континуальные; индивидуальные; явные,
15,Документирование изменений уровня стресса,Да,состояние,измерение,возможные; дискретные; индивидуальные; явные,
