№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Мягкие исследовательские движения для повышения осознанности,Да,поведение,осознанность,возможные; постепенные; индивидуальные; явные,Уникально для метода Фельденкрайза
2,Направленное внимание к самоощущению,Да,состояние,перцептивный фокус,возможные; континуальные; индивидуальные; явные,
3,Уроки 'Осознанности через движение',Да,структура,обучение,необходимые; дискретные; коллективные; явные,
4,Сессии функциональной интеграции,Да,отношения,тактильное руководство,возможные; дискретные; индивидуальные; явные,
5,Реорганизация образа тела,Да,идентичность/границы,нейропластичность,возможные; постепенные; индивидуальные; явные,
6,Снижение напряжения через новые двигательные паттерны,Да,тело/материя,релаксация,возможные; постепенные; индивидуальные; явные,
7,Исследование привычных паттернов движения,Да,поведение,самонаблюдение,возможные; постепенные; индивидуальные; латентные,
8,Постепенное улучшение гибкости и координации,Да,функция,адаптация,возможные; постепенные; индивидуальные; явные,
9,Развитие эффективного движения через нейропластичность,Да,функция,нейропластичность,возможные; постепенные; индивидуальные; явные,
10,Использование движений малой амплитуды,Да,поведение,микродвижения,возможные; континуальные; индивидуальные; явные,
11,Работа в зоне комфорта без боли,Да,состояние,безопасность,необходимые; континуальные; индивидуальные; явные,
12,Обучение через сенсорную обратную связь,Да,дискурс,биообратная связь,возможные; дискретные; индивидуальные; явные,
13,Применение принципов физики и биомеханики,Да,принципы,биомеханика,необходимые; дискретные; индивидуальные; явные,
14,Медленное повторение для закрепления новых паттернов,Да,время/ритм,повторение,возможные; постепенные; индивидуальные; явные,
15,Перенос улучшенного движения в повседневную жизнь,Да,функция,генерализация,возможные; континуальные; индивидуальные; явные,
