№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Воплощённое изучение анатомических систем,Да,знания,анатомия,необходимые; дискретные; индивидуальные; явные,Специфично для BMC
2,Исследование клеточного интеллекта,Да,тело/материя,клеточная осознанность,возможные; континуальные; индивидуальные; латентные,
3,Личная воплощённость каждой системы тела,Да,тело/материя,воплощение,возможные; постепенные; индивидуальные; явные,
4,"Использование движения, прикосновения, голоса и разума",Да,функция,мультимодальность,возможные; континуальные; индивидуальные; явные,
5,Развитие репаттернинга развития,Да,структура,развивающее перепрограммирование,возможные; постепенные; индивидуальные; явные,
6,Переживание эмбриональных паттернов,Да,память/наследие,эмбриология,возможные; постепенные; индивидуальные; латентные,
7,Интеграция физиологических принципов в движение,Да,функция,физиология,возможные; континуальные; индивидуальные; явные,
8,Работа с органами для формирования качества движения,Да,тело/материя,органоцентричность,возможные; постепенные; индивидуальные; явные,
9,Развитие языка тела для описания отношений,Да,дискурс,соматический язык,возможные; дискретные; индивидуальные; явные,
10,"Работа с жидкостями, костями, мышцами и фасцией",Да,тело/материя,системный подход,возможные; постепенные; индивидуальные; явные,
11,Самопознание через опытную анатомию,Да,идентичность/границы,самопознание,возможные; континуальные; индивидуальные; явные,
12,Применение принципов развития в тренировке,Да,функция,развитие,возможные; дискретные; индивидуальные; явные,
13,Интеграция психофизической осознанности,Да,состояние,психофизика,возможные; континуальные; индивидуальные; явные,
14,Исследование связи между телом и сознанием,Да,состояние,коннекционность,возможные; континуальные; индивидуальные; явные,
15,Перенос соматического опыта в повседневность,Да,функция,генерализация,возможные; континуальные; индивидуальные; явные,
