№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Нежное слушающее прикосновение для расслабления,Да,тело/материя,слушающий контакт,возможные; дискретные; индивидуальные; явные,
2,Фокус на дыхании для освобождения напряжения,Да,время/ритм,дыхание,возможные; континуальные; индивидуальные; явные,
3,Развитие присутствия и осознанности,Да,состояние,присутствие,возможные; континуальные; индивидуальные; явные,
4,Приглашение бессознательных чувств к проявлению,Да,символы,психосоматический контакт,возможные; постепенные; индивидуальные; латентные,
5,Участие в движенческих классах для поиска лёгкости,Да,поведение,экспрессивное движение,возможные; дискретные; коллективные; явные,
6,Освобождение хронических мышечных зажимов,Да,тело/материя,освобождение,возможные; постепенные; индивидуальные; явные,
7,Стимуляция парасимпатической активации,Да,состояние,регуляция,возможные; континуальные; индивидуальные; явные,
8,Комбинирование прикосновения с вербальным отражением,Да,дискурс,вербализация,возможные; дискретные; индивидуальные; явные,
9,Помощь клиентам в нахождении аутентичного 'я',Да,идентичность/границы,аутентичность,возможные; постепенные; индивидуальные; явные,
10,Слушание тонких мышечных ответов,Да,тело/материя,чувствительность,возможные; континуальные; индивидуальные; латентные,
11,Поддержка глубокого слушания в отношениях,Да,отношения,эмпатия,возможные; континуальные; коллективные; явные,
12,Разрешение истинного 'я' проявляться,Да,идентичность/границы,самопринятие,возможные; постепенные; индивидуальные; латентные,
13,Мобилизация нервной системы для регуляции,Да,функция,нейровегетативная регуляция,возможные; постепенные; индивидуальные; явные,
14,Создание безопасной среды для уязвимости,Да,пространство,безопасность,необходимые; мгновенные; коллективные; явные,
15,Интеграция движения и работы с телом,Да,поведение,интеграция,возможные; дискретные; индивидуальные; явные,
