№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Руководство по торможению привычных паттернов,Да,поведение,ингибиция,возможные; континуальные; индивидуальные; явные,Уникально для техники Александера
2,Вербальное наставление для улучшения осанки,Да,функция,коучинг,необходимые; дискретные; индивидуальные; явные,
3,Тактильная помощь для освобождения напряжения,Да,тело/материя,освобождение напряжения,возможные; дискретные; индивидуальные; явные,
4,Осознавание первичного контроля (голова-шея),Да,функция,первичный контроль,возможные; континуальные; индивидуальные; явные,
5,Развитие сенсорной осознанности,Да,состояние,осознанность,возможные; континуальные; индивидуальные; явные,
6,Применение намеренного направления частей тела,Да,функция,направление,возможные; континуальные; индивидуальные; явные,
7,Практика положения 'конструктивный отдых',Да,состояние,релаксация,возможные; дискретные; индивидуальные; явные,
8,Использование шепота 'ах' для дыхания,Да,время/ритм,дыхание,возможные; дискретные; индивидуальные; явные,
9,Удержание длины и ширины позвоночника,Да,функция,пространственное расширение,возможные; континуальные; индивидуальные; явные,
10,Балансирование головы на вершине позвоночника,Да,функция,баланс,возможные; континуальные; индивидуальные; явные,
11,Освобождение суставов от избыточного напряжения,Да,тело/материя,освобождение,возможные; постепенные; индивидуальные; явные,
12,Применение принципов в повседневной деятельности,Да,функция,интеграция,возможные; континуальные; индивидуальные; явные,
13,Практика позы 'монки' для облегчения сгибания,Да,поведение,эргономика,возможные; дискретные; индивидуальные; явные,
14,Исключение стремления к результату (end-gaining),Да,нормы,процессуальность,возможные; постепенные; индивидуальные; латентные,
15,Обучение паузе и остановке перед действием,Да,поведение,осознанная пауза,возможные; дискретные; индивидуальные; явные,
