№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Формирование пары 'движущийся-свидетель',Да,структура,контейнер,необходимые; дискретные; коллективные; явные,
2,Движение с закрытыми глазами,Да,поведение,внутренний импульс,возможные; континуальные; индивидуальные; явные,
3,Следование внутреннему импульсу,Да,поведение,спонтанность,возможные; континуальные; индивидуальные; латентные,
4,Беспристрастное свидетельствование,Да,отношения,наблюдение,необходимые; континуальные; коллективные; латентные,
5,Вербальная рефлексия после движения,Да,дискурс,вербализация,необходимые; дискретные; коллективные; явные,
6,Письменная рефлексия,Да,память/наследие,рефлексия,возможные; дискретные; индивидуальные; явные,
7,Осознавание границ между внутренним и внешним,Да,идентичность/границы,осознанность,возможные; континуальные; индивидуальные; латентные,
8,Совместный вербальный круг,Да,отношения,диалог,необходимые; дискретные; коллективные; явные,
9,Замедление для глубокого восприятия,Да,время/ритм,замедление,возможные; континуальные; индивидуальные; явные,
10,Периодическая смена ролей,Да,отношения,равенство,необходимые; дискретные; коллективные; явные,
11,Определение продолжительности сессии,Да,время/ритм,контракт,необходимые; дискретные; коллективные; явные,
12,Символическое начало и конец,Да,ритуалы,ритуал,необходимые; дискретные; коллективные; явные,
13,Работа с воображаемыми образами,Да,символы,визуализация,возможные; континуальные; индивидуальные; латентные,
14,Наблюдение дыхания свидетеля,Да,состояние,эмпатия,возможные; континуальные; коллективные; латентные,
15,Интеграция опыта в повседневную жизнь,Да,поведение,интеграция,возможные; постепенные; индивидуальные; латентные,
