№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Распознавание кошмара,Да,состояние,принцип осознания,возможные; индивидуальные; мгновенные,"Понимание, что сон пугает"
2,Ведение дневника кошмаров,Да,память/наследие,принцип фиксации,возможные; индивидуальные; континуальные,Запись содержания и эмоций
3,Анализ повторяющихся тем,Да,содержание,принцип паттерна,возможные; индивидуальные; дискретные,Выявление общих мотивов
4,Изменение сюжета (IRT),Да,дискурс,принцип переписывания,возможные; индивидуальные; дискретные,Создание нового финала
5,Репетиция нового сна,Да,поведение,принцип тренировки,возможные; индивидуальные; континуальные,Ежедневная отработка изменённого сюжета
6,Когнитивное реструктурирование,Да,содержание,принцип переоценки,возможные; индивидуальные; континуальные,Меняет отношение к кошмару
7,Прогрессивная релаксация,Да,тело/материя,принцип расслабления,возможные; индивидуальные; континуальные,Снятие напряжения перед сном
8,Контроль дыхания,Да,функция,принцип саморегуляции,возможные; индивидуальные; континуальные,Способствует спокойному сну
9,Экспозиционная терапия,Условно,содержание,принцип десенсибилизации,возможные; индивидуальные; континуальные,Постепенное знакомство с пугающими образами
10,Медикаментозное лечение,Условно,тело/материя,принцип фармакотерапии,возможные; экзогенные; континуальные,Назначение препаратов
11,Сонная гигиена,Да,нормы,принцип регулярности,возможные; индивидуальные; континуальные,Установление режима сна
12,Психотерапевтическая поддержка,Да,отношения,принцип сопровождения,возможные; коллективные; континуальные,Работа с терапевтом
13,Воображаемая защита,Да,значения,принцип символической силы,возможные; индивидуальные; дискретные,Создание защитного образа
14,Исключение стимуляторов,Да,нормы,принцип избегания,возможные; индивидуальные; континуальные,Сокращение кофеина и алкоголя
