№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Запись содержания,Да,память/наследие,принцип фиксации,возможные; индивидуальные; мгновенные,Подробная фиксация сна
2,Выделение символов,Да,значения,принцип отбора,возможные; индивидуальные; дискретные,Идентификация ключевых образов
3,Ассоциация с личным опытом,Да,отношения,принцип связи,возможные; индивидуальные; дискретные,Поиск связей со событиями
4,Сравнение с архетипами,Да,значения,принцип юнгианства,возможные; индивидуальные; дискретные,Поиск коллективных символов
5,Использование психоанализа,Да,дискурс,принцип фрейдизма,возможные; индивидуальные; континуальные,Толкование латентного содержания
6,Применение когнитивного подхода,Да,функция,принцип рациональности,возможные; индивидуальные; континуальные,Сфокусировано на процессах мышления
7,Культурный анализ,Да,нормы,принцип культурной среды,возможные; индивидуальные; континуальные,С учётом культурных кодов
8,Мифологический сопоставление,Да,память/наследие,принцип соответствия,возможные; индивидуальные; дискретные,Сравнение со сказаниями
9,Предсказательная интерпретация,Условно,значения,принцип гадания,возможные; индивидуальные; дискретные,Толкование как пророчество
10,Коллективный разбор,Да,отношения,принцип обмена,возможные; коллективные; дискретные,Совместный анализ сна
11,Расстановка аналитических карт,Да,символы,принцип визуализации,возможные; индивидуальные; дискретные,Использование карточек
12,Толкование по соннику,Да,значения,принцип шаблона,возможные; индивидуальные; дискретные,Сравнение с традиционным толкователем
