№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Начало N1,Да,состояние,принцип перехода,необходимые; индивидуальные; мгновенные,Первый этап неглубокого сна
2,Погружение в N2,Да,состояние,принцип углубления,необходимые; индивидуальные; постепенные,Появление сонных веретён
3,Вход в медленный сон (N3),Да,состояние,принцип замедления,необходимые; индивидуальные; постепенные,Наиболее глубокая фаза сна
4,Переход в фазу REM,Да,состояние,принцип цикличности,необходимые; индивидуальные; дискретные,Фаза быстрых движений глаз
5,Циклирование стадий,Да,время/ритм,принцип повторяемости,необходимые; индивидуальные; континуальные,4–6 циклов за ночь
6,Выработка мелатонина,Условно,тело/материя,принцип циркадности,необходимые; эндогенные; континуальные,Регулирует биоритмы
7,Активирование GABA,Условно,тело/материя,принцип торможения,необходимые; эндогенные; континуальные,Подавляет бодрствование
8,Накопление аденозина,Да,тело/материя,принцип усталости,необходимые; эндогенные; континуальные,Создает сонливость
9,Ослабление серотонина,Да,тело/материя,принцип переключения,необходимые; эндогенные; континуальные,Подготовка ко сну
10,Снижение температуры тела,Да,функция,принцип теплоотдачи,возможные; эндогенные; постепенные,Помогает засыпанию
11,Замедление сердечного ритма,Да,функция,принцип экономии,возможные; эндогенные; постепенные,Снижение нагрузки
12,Мышечная атония,Условно,функция,принцип безопасности,необходимые; эндогенные; дискретные,Паралич для предотвращения движений
13,Формирование медленных волн,Да,время/ритм,принцип синхронизации,необходимые; эндогенные; континуальные,Синхронная активность нейронов
14,Генерация сонных веретён,Да,время/ритм,принцип изоляции,необходимые; эндогенные; дискретные,Защита от пробуждения
15,Появление PGO-волн,Да,время/ритм,принцип активации,возможные; эндогенные; дискретные,Связано с REM
16,Уменьшение тонуса сосудов,Да,функция,принцип релаксации,возможные; эндогенные; постепенные,Снижение давления
17,Очищение мозга от метаболитов,Нет,тело/материя,принцип детоксикации,необходимые; эндогенные; континуальные,Глимфатическая система
18,Регуляция гормона роста,Да,тело/материя,принцип восстановления,необходимые; эндогенные; континуальные,Ремонт тканей
19,Пробуждение,Да,состояние,принцип завершения,необходимые; индивидуальные; мгновенные,Выход из сна
