№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Консолидация памяти,Да,память/наследие,принцип укрепления,возможные; эндогенные; континуальные,Перенос опыта в долговременную память
2,Эмоциональная обработка,Да,состояние,принцип регуляции,возможные; эндогенные; континуальные,Снятие эмоционального стресса
3,Моделирование угроз,Условно,поведение,принцип обучения,возможные; эндогенные; дискретные,Репетиция опасных ситуаций
4,Символическое представление,Да,значения,принцип метафоры,возможные; эндогенные; континуальные,Латентное содержание во сне
5,Выражение желаний,Да,значения,принцип Фрейда,возможные; эндогенные; дискретные,Исполнение подавленных желаний
6,Синтез стимула,Да,состояние,принцип активации‑синтеза,возможные; эндогенные; континуальные,Смешение внутренней и внешней информации
7,Творческое решение проблем,Да,функция,принцип инсайта,возможные; эндогенные; дискретные,Инкубация идей
8,Объединение фрагментов опыта,Да,содержание,принцип ассоциации,возможные; эндогенные; континуальные,Включение разнотипных воспоминаний
9,Стимуляция обучения,Да,поведение,принцип репетиции,возможные; эндогенные; континуальные,Переживание навыков
10,Создание нарратива,Да,дискурс,принцип когерентности,возможные; эндогенные; постепенные,Связывание эпизодов в сюжет
11,Оценка социальных связей,Да,отношения,принцип отражения,возможные; эндогенные; дискретные,Обработка конфликтов и взаимодействий
12,Укрепление самоидентичности,Да,идентичность/границы,принцип интеграции,возможные; эндогенные; континуальные,Подкрепление образа Я
13,Забывание сна,Нет,память/наследие,принцип экономии,возможные; эндогенные; мгновенные,Удаление ненужной информации
14,Формирование мысленных образов,Да,содержание,принцип визуализации,возможные; эндогенные; континуальные,Яркие сенсорные сцены
15,Пробуждение от сильных эмоций,Да,состояние,принцип тревоги,возможные; эндогенные; мгновенные,Прерывание сна при кошмаре
16,Ассимиляция культуры,Да,нормы,принцип социализации,возможные; эндогенные; континуальные,Внедрение культурных элементов
