№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Появление визуальных образов,Да,содержание,принцип спонтанности,возможные; эндогенные; мгновенные,"Фосфены, геометрические фигуры"
2,Слуховые феномены,Да,содержание,принцип интерференции,возможные; эндогенные; мгновенные,"Звуки, голоса"
3,Тактильные ощущения,Да,содержание,принцип псевдочувств,возможные; эндогенные; мгновенные,Ощущение падения
4,Гипнический рывок,Да,функция,принцип рефлекса,возможные; эндогенные; мгновенные,Резкое сокращение мышц
5,Отпускание мысли,Да,состояние,принцип плавности,возможные; индивидуальные; континуальные,Переход в дрему
6,Повышенная внушаемость,Условно,состояние,принцип открытости,возможные; индивидуальные; континуальные,Чувствительность к внешним сигналам
7,Индукция гипнагогии,Да,поведение,принцип намерения,возможные; индивидуальные; дискретные,Создание условий для состояния
8,Наблюдение микроснов,Да,содержание,принцип самонаблюдения,возможные; индивидуальные; дискретные,Короткие образы
9,Разделение гипнагогии и сна,Да,идентичность/границы,принцип различения,возможные; индивидуальные; дискретные,Осознание перехода
10,Гипнопомпические переживания,Да,содержание,принцип завершения,возможные; эндогенные; мгновенные,Явления при пробуждении
11,Спонтанные идеи,Да,функция,принцип креативности,возможные; индивидуальные; дискретные,Вспышки вдохновения
12,Полутранс,Да,состояние,принцип промежуточности,возможные; индивидуальные; континуальные,Состояние между бодрствованием и сном
