№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,вертикальная коммуникация,Условно,структура/иерархия/власть,контроль/подчинение/управление,институциональные; стратегические; формальные,Аналоги: политология—власть; социология—иерархии; менеджмент—управление
2,нисходящая коммуникация,Условно,структура/иерархия/власть,контроль/подчинение/управление,институциональные; стратегические; формальные,Аналоги: политология—власть; социология—иерархии; менеджмент—управление
3,восходящая коммуникация,Условно,структура/иерархия/власть,контроль/подчинение/управление,институциональные; стратегические; формальные,Аналоги: политология—власть; социология—иерархии; менеджмент—управление
4,горизонтальная коммуникация,Условно,структура/иерархия/власть,контроль/подчинение/управление,институциональные; стратегические; формальные,Аналоги: политология—власть; социология—иерархии; менеджмент—управление
5,централизация,Условно,структура/иерархия/власть,контроль/подчинение/управление,институциональные; стратегические; формальные,Аналоги: политология—власть; социология—иерархии; менеджмент—управление
6,децентрализация,Условно,структура/иерархия/власть,контроль/подчинение/управление,институциональные; стратегические; формальные,Аналоги: политология—власть; социология—иерархии; менеджмент—управление
7,формализация,Условно,структура/иерархия/власть,контроль/подчинение/управление,институциональные; стратегические; формальные,Аналоги: политология—власть; социология—иерархии; менеджмент—управление
8,бюрократизация,Условно,структура/иерархия/власть,контроль/подчинение/управление,институциональные; стратегические; формальные,Аналоги: политология—власть; социология—иерархии; менеджмент—управление
9,делегирование,Условно,структура/иерархия/власть,контроль/подчинение/управление,институциональные; стратегические; формальные,Аналоги: политология—власть; социология—иерархии; менеджмент—управление
10,аутсорсинг,Условно,структура/иерархия/власть,контроль/подчинение/управление,институциональные; стратегические; формальные,Аналоги: политология—власть; социология—иерархии; менеджмент—управление
11,формальная коммуникация,Условно,формальные/неформальные сети,регуляция/гибридизация/сопротивление,постепенные; институциональные; ситуативные,Аналоги: социология—формальные организации; психология—группы; информатика—сети
12,неформальная коммуникация,Условно,формальные/неформальные сети,регуляция/гибридизация/сопротивление,постепенные; институциональные; ситуативные,Аналоги: социология—формальные организации; психология—группы; информатика—сети
13,слухи,Условно,формальные/неформальные сети,регуляция/гибридизация/сопротивление,постепенные; институциональные; ситуативные,Аналоги: социология—формальные организации; психология—группы; информатика—сети
14,кухонные разговоры,Условно,формальные/неформальные сети,регуляция/гибридизация/сопротивление,постепенные; институциональные; ситуативные,Аналоги: социология—формальные организации; психология—группы; информатика—сети
15,сетевые связи,Условно,формальные/неформальные сети,регуляция/гибридизация/сопротивление,постепенные; институциональные; ситуативные,Аналоги: социология—формальные организации; психология—группы; информатика—сети
16,альянсы,Условно,формальные/неформальные сети,регуляция/гибридизация/сопротивление,постепенные; институциональные; ситуативные,Аналоги: социология—формальные организации; психология—группы; информатика—сети
17,фракционализация,Условно,формальные/неформальные сети,регуляция/гибридизация/сопротивление,постепенные; институциональные; ситуативные,Аналоги: социология—формальные организации; психология—группы; информатика—сети
18,саботаж,Условно,формальные/неформальные сети,регуляция/гибридизация/сопротивление,постепенные; институциональные; ситуативные,Аналоги: социология—формальные организации; психология—группы; информатика—сети
19,теневые сети,Условно,формальные/неформальные сети,регуляция/гибридизация/сопротивление,постепенные; институциональные; ситуативные,Аналоги: социология—формальные организации; психология—группы; информатика—сети
20,символическая коммуникация,Условно,формальные/неформальные сети,регуляция/гибридизация/сопротивление,постепенные; институциональные; ситуативные,Аналоги: социология—формальные организации; психология—группы; информатика—сети
21,коллективное принятие решений,Условно,решения/процессы/политики,коллективность/рационализация/легитимация,институциональные; стратегические; ситуативные,Аналоги: политология—политика; экономика—распределение ресурсов; психология—когнитивные процессы
22,индивидуальное принятие решений,Условно,решения/процессы/политики,коллективность/рационализация/легитимация,институциональные; стратегические; ситуативные,Аналоги: политология—политика; экономика—распределение ресурсов; психология—когнитивные процессы
23,консенсус,Условно,решения/процессы/политики,коллективность/рационализация/легитимация,институциональные; стратегические; ситуативные,Аналоги: политология—политика; экономика—распределение ресурсов; психология—когнитивные процессы
24,голосование,Условно,решения/процессы/политики,коллективность/рационализация/легитимация,институциональные; стратегические; ситуативные,Аналоги: политология—политика; экономика—распределение ресурсов; психология—когнитивные процессы
25,авторитарное решение,Условно,решения/процессы/политики,коллективность/рационализация/легитимация,институциональные; стратегические; ситуативные,Аналоги: политология—политика; экономика—распределение ресурсов; психология—когнитивные процессы
26,рационализация,Условно,решения/процессы/политики,коллективность/рационализация/легитимация,институциональные; стратегические; ситуативные,Аналоги: политология—политика; экономика—распределение ресурсов; психология—когнитивные процессы
27,интуитивное решение,Условно,решения/процессы/политики,коллективность/рационализация/легитимация,институциональные; стратегические; ситуативные,Аналоги: политология—политика; экономика—распределение ресурсов; психология—когнитивные процессы
28,компромисс,Условно,решения/процессы/политики,коллективность/рационализация/легитимация,институциональные; стратегические; ситуативные,Аналоги: политология—политика; экономика—распределение ресурсов; психология—когнитивные процессы
29,делегирование решений,Условно,решения/процессы/политики,коллективность/рационализация/легитимация,институциональные; стратегические; ситуативные,Аналоги: политология—политика; экономика—распределение ресурсов; психология—когнитивные процессы
30,стратегическое планирование,Условно,решения/процессы/политики,коллективность/рационализация/легитимация,институциональные; стратегические; ситуативные,Аналоги: политология—политика; экономика—распределение ресурсов; психология—когнитивные процессы
31,переговоры,Условно,разногласия/конфликты/переговоры,регуляция/разрешение/интеграция,институциональные; межличностные; стратегические,Аналоги: право—арбитраж; психология—разрешение конфликтов; дипломатия—переговоры
32,медиация,Условно,разногласия/конфликты/переговоры,регуляция/разрешение/интеграция,институциональные; межличностные; стратегические,Аналоги: право—арбитраж; психология—разрешение конфликтов; дипломатия—переговоры
33,арбитраж,Условно,разногласия/конфликты/переговоры,регуляция/разрешение/интеграция,институциональные; межличностные; стратегические,Аналоги: право—арбитраж; психология—разрешение конфликтов; дипломатия—переговоры
34,сотрудничество,Условно,разногласия/конфликты/переговоры,регуляция/разрешение/интеграция,институциональные; межличностные; стратегические,Аналоги: право—арбитраж; психология—разрешение конфликтов; дипломатия—переговоры
35,соперничество,Условно,разногласия/конфликты/переговоры,регуляция/разрешение/интеграция,институциональные; межличностные; стратегические,Аналоги: право—арбитраж; психология—разрешение конфликтов; дипломатия—переговоры
36,компромисс,Условно,разногласия/конфликты/переговоры,регуляция/разрешение/интеграция,институциональные; межличностные; стратегические,Аналоги: право—арбитраж; психология—разрешение конфликтов; дипломатия—переговоры
