№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,создание новостей,Условно,производство контента/медиа-продукты,создание/репрезентация/стандартизация,институциональные; массовые; сетевые,Аналоги: экономика—производство; искусство—создание; информатика—генерация контента
2,редактирование,Условно,производство контента/медиа-продукты,создание/репрезентация/стандартизация,институциональные; массовые; сетевые,Аналоги: экономика—производство; искусство—создание; информатика—генерация контента
3,стандартизация формата,Условно,производство контента/медиа-продукты,создание/репрезентация/стандартизация,институциональные; массовые; сетевые,Аналоги: экономика—производство; искусство—создание; информатика—генерация контента
4,жанровая трансформация,Условно,производство контента/медиа-продукты,создание/репрезентация/стандартизация,институциональные; массовые; сетевые,Аналоги: экономика—производство; искусство—создание; информатика—генерация контента
5,медиа-гибридизация,Условно,производство контента/медиа-продукты,создание/репрезентация/стандартизация,институциональные; массовые; сетевые,Аналоги: экономика—производство; искусство—создание; информатика—генерация контента
6,алгоритмическая генерация,Условно,производство контента/медиа-продукты,создание/репрезентация/стандартизация,институциональные; массовые; сетевые,Аналоги: экономика—производство; искусство—создание; информатика—генерация контента
7,автоматизация продакшена,Условно,производство контента/медиа-продукты,создание/репрезентация/стандартизация,институциональные; массовые; сетевые,Аналоги: экономика—производство; искусство—создание; информатика—генерация контента
8,репрезентация событий,Условно,производство контента/медиа-продукты,создание/репрезентация/стандартизация,институциональные; массовые; сетевые,Аналоги: экономика—производство; искусство—создание; информатика—генерация контента
9,фейковые новости,Условно,производство контента/медиа-продукты,создание/репрезентация/стандартизация,институциональные; массовые; сетевые,Аналоги: экономика—производство; искусство—создание; информатика—генерация контента
10,репортажизация,Условно,производство контента/медиа-продукты,создание/репрезентация/стандартизация,институциональные; массовые; сетевые,Аналоги: экономика—производство; искусство—создание; информатика—генерация контента
11,печать,Условно,каналы/распространение/медиа,передача/доставка/усиление,массовые; институциональные; сетевые,Аналоги: логистика—распределение; информатика—сети; экономика—рынки
12,радио,Условно,каналы/распространение/медиа,передача/доставка/усиление,массовые; институциональные; сетевые,Аналоги: логистика—распределение; информатика—сети; экономика—рынки
13,телевидение,Условно,каналы/распространение/медиа,передача/доставка/усиление,массовые; институциональные; сетевые,Аналоги: логистика—распределение; информатика—сети; экономика—рынки
14,кино,Условно,каналы/распространение/медиа,передача/доставка/усиление,массовые; институциональные; сетевые,Аналоги: логистика—распределение; информатика—сети; экономика—рынки
