№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Регулировка уровня освещенности и цветовой температуры,Да,пространство,Принцип светового комфорта,непрерывные; индивидуальные; экзогенные,Уникально
2,Контроль шума и установка акустических панелей,Да,пространство,Принцип акустического контроля,непрерывные; коллективные; экзогенные,Уникально
3,Настройка температуры и влажности в помещении,Да,пространство,Принцип климатического баланса,непрерывные; коллективные; экзогенные,Уникально
4,Обеспечение равномерного воздушного потока (вентиляция),Да,пространство,Принцип вентиляции,непрерывные; коллективные; экзогенные,Уникально
5,"Использование адаптивного освещения (датчики движения, дневной свет)",Да,технология/инфраструктура,Принцип адаптивного освещения,непрерывные; коллективные; экзогенные,Уникально
6,Установка звукопоглощающих материалов,Да,технология/инфраструктура,Принцип звукопоглощения,дискретные; коллективные; экзогенные,Уникально
7,Организация зон с разными климатическими параметрами,Да,пространство,Принцип микроклимата,постепенные; коллективные; экзогенные,Уникально
8,Использование персональных обогревателей/охладителей,Да,технология/инфраструктура,Принцип индивидуального климата,дискретные; индивидуальные; экзогенные,Уникально
9,Размещение рабочих мест с учётом окон и солнечного света,Да,пространство,Принцип естественного освещения,постепенные; коллективные; экзогенные,Уникально
10,Установка фильтров для очистки воздуха,Да,технология/инфраструктура,Принцип качества воздуха,непрерывные; коллективные; экзогенные,Уникально
11,Внедрение биофильных элементов (растений) для улучшения микроклимата,Да,пространство,Принцип биофильного дизайна,постепенные; коллективные; экзогенные,Уникально
12,Регулировка вибрации оборудования,Да,технология/инфраструктура,Принцип виброподавления,непрерывные; коллективные; экзогенные,Уникально
13,Контроль запахов и химических загрязнителей,Да,пространство,Принцип контроля запахов,непрерывные; коллективные; экзогенные,Уникально
14,Настройка временных циклов освещения для поддержания циркадных ритмов,Да,время/ритм,Принцип циркадной поддержки,непрерывные; коллективные; экзогенные,Уникально
15,Мониторинг и адаптация параметров среды в режиме реального времени,Да,состояние,Принцип постоянного мониторинга,непрерывные; коллективные; экзогенные,Уникально
