№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Снижение когнитивной нагрузки через упрощение интерфейса (минимизация информации),Да,содержание,Принцип минимальной когнитивной нагрузки,возможные; постепенные; индивидуальные/коллективные,Аналог в интерфейсной эргономике
2,Использование цветового кодирования для быстрого восприятия,Да,символы,Принцип цветового кодирования,мгновенные; коллективные; дискретные,Аналогично
3,Внедрение аудиовизуальных сигналов для предупреждений,Да,технология/инфраструктура,Принцип мультимодальной обратной связи,мгновенные; коллективные; дискретные,Аналогично
4,Стандартизация терминологии и символов,Условно,дискурс,Принцип унификации терминов,постепенные; коллективные; институциональные,Аналог в организационной эргономике
5,Применение принципа последовательности шагов (избежание перебоев),Да,структура,Принцип последовательности,мгновенные; индивидуальные; непрерывные,Уникально
6,Ограничение количества вариантов выбора (правило семи плюс-минус два),Да,содержание,Закон Миллера,мгновенные; индивидуальные; дискретные,Аналогично
7,Использование автодополнения и подсказок,Да,технология/инфраструктура,Принцип поддержки пользователя,мгновенные; индивидуальные; дискретные,Уникально
8,Предоставление обратной связи в реальном времени,Да,функция,Принцип немедленной обратной связи,мгновенные; индивидуальные; дискретные,Уникально
9,Внедрение обучения и тренингов для повышения навыков,Условно,память/наследие,Принцип адаптивного обучения,постепенные; коллективные; институциональные,Аналогично
10,Использование визуальных схем и карт памяти,Да,значения,Принцип визуальной организации,мгновенные; индивидуальные; дискретные,Уникально
11,Разделение сложных задач на шаги (chunking),Да,структура,Принцип группирования,мгновенные; индивидуальные; дискретные,Уникально
12,Внедрение систем внешней памяти (уменьшение необходимости запоминания),Да,технология/инфраструктура,Принцип внешней когнитивной поддержки,мгновенные; индивидуальные; дискретные,Уникально
13,Применение принципа совместимости между действиями и их последствиями (mapping),Да,отношения,Принцип совместимости,мгновенные; индивидуальные; дискретные,Уникально
14,"Использование метафор, знакомых пользователю (концептуальные модели)",Да,значения,Принцип концептуальной аналогии,мгновенные; индивидуальные; дискретные,Уникально
15,Сокращение времени реакции благодаря оптимальному расположению элементов (закон Фиттса),Да,пространство,Закон Фиттса,мгновенные; индивидуальные; дискретные,Аналог в интерфейсной эргономике
