№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Классификация спортсменов по уровню функциональных возможностей,Да,институты,паралимпийская классификация,институциональные;дискретные,Уникально для адаптивного спорта
2,"Модификация оборудования (коляски, протезы)",Да,технология/инфраструктура,эргономическая адаптация,экзогенные;дискретные,Уникально
3,Настройка правил соревнований,Да,нормы,инклюзивность,институциональные;дискретные,Пересечение с педагогикой
4,Обучение адаптивных техник,Да,поведение,мотивационный подход,индивидуальные;постепенные,Пересечение с педагогикой
5,Разработка программ реабилитации через спорт,Да,поведение,реабилитационная модель,индивидуальные;постепенные,Пересечение с спортивной медициной
6,Создание инклюзивных спортивных площадок,Да,пространство,универсальный дизайн,коллективные;постепенные,Пересечение с инфраструктурой
7,Психологическая поддержка адаптивных спортсменов,Да,идентичность/границы,психологическая адаптация,индивидуальные;постепенные,Пересечение с психология
8,Продвижение паралимпийского движения,Да,дискурс,социальная справедливость,коллективные;постепенные,Уникально
9,Разработка систем классификации командных видов спорта,Да,институты,функциональная классификация,институциональные;дискретные,Пересечение с наукой о спорте
10,Оценка безопасности оборудования и протезов,Да,структура,безопасность,экзогенные;дискретные,Пересечение с спортмедициной
11,Обучение тренеров адаптивному подходу,Да,отношения,тренерская подготовка,коллективные;постепенные,Пересечение с педагогикой
12,Разработка программ финансирования и поддержки,Да,экономика/обмен,социальная политика,институциональные;постепенные,Уникально
13,Сотрудничество с НКО и организациями инвалидов,Да,отношения,партнёрства,коллективные;постепенные,Пересечение с организационным поведением
14,Разработка соревнований смешанного формата (инклюзивный спорт),Да,нормы,инклюзивные принципы,коллективные;дискретные,Уникально
15,Применение технологий для удалённого участия (e-sports адаптив),Да,технология/инфраструктура,цифровая адаптация,экзогенные;дискретные,Пересечение с VR-спортом и аналитикой
