№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Создание эмпатического присутствия,Да,отношения,безусловное принятие,необходимые; мгновенные; индивидуальные; явные,
2,Телесное сканирование осознанности,Да,состояние,осознанность,возможные; континуальные; индивидуальные; явные,
3,Свободная импровизация в безопасном пространстве,Да,поведение,самоактуализация,возможные; континуальные; коллективные; явные,
4,Зеркальное отражение чувств клиента,Да,отношения,эмпатия,возможные; мгновенные; индивидуальные; латентные,
5,Фокус на 'здесь-и-сейчас' движениях,Да,время/ритм,присутствие,необходимые; континуальные; индивидуальные; явные,
6,Развитие самоосознавания через движение,Да,идентичность/границы,гуманизм,возможные; постепенные; индивидуальные; явные,
7,Творческая экспрессия эмоций,Да,поведение,экспрессивная терапия,возможные; дискретные; индивидуальные; явные,
8,Исследование личных ценностей через танец,Да,ценности,самопознание,возможные; дискретные; индивидуальные; явные,
9,Ненаправляемый диалог тела и души,Да,состояние,внутренний диалог,возможные; континуальные; индивидуальные; латентные,
10,Поддержание позитивного самоотношения,Да,нормы,самоактуализация,необходимые; континуальные; индивидуальные; латентные,
11,Отслеживание изменений в дыхании при движении,Да,тело/материя,биообратная связь,возможные; континуальные; индивидуальные; явные,
12,Принятие тела в его уникальности,Да,идентичность/границы,принятие,необходимые; постепенные; индивидуальные; латентные,
13,Разделение ответственности клиента за процесс,Да,нормы,коллаборация,возможные; континуальные; коллективные; явные,
14,Развитие осознанных границ через движение,Да,идентичность/границы,осознание границ,возможные; постепенные; индивидуальные; явные,
15,Акцент на творческом самовыражении,Да,поведение,творчество,возможные; дискретные; индивидуальные; явные,
